month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,12,23913,22,424,1992.8,1.8,35.3
2014-04,1,23,587,481,962,25.5,20.9,41.8
2014-05,1,5,11,17,207,2.2,3.4,41.4
2014-06,1,42,455,440,2004,10.8,10.5,47.7
2014-07,1,12,133,32,519,11.1,2.7,43.2
2014-08,1,5,91,91,247,18.2,18.2,49.4
2014-09,1,11,19,10,314,1.7,0.9,28.5
2014-10,1,2,9,5,81,4.5,2.5,40.5
2014-11,1,11,32,23,664,2.9,2.1,60.4
2015-01,1,5,22,20,204,4.4,4.0,40.8
2015-02,1,4,16,21,108,4.0,5.2,27.0
2015-03,1,16,121,107,1032,7.6,6.7,64.5
2015-04,1,4,7,5,226,1.8,1.2,56.5
2015-05,1,3,9,4,125,3.0,1.3,41.7
2015-06,1,4,5,5,225,1.2,1.2,56.2
2015-07,1,3,24,5,68,8.0,1.7,22.7
2015-08,1,14,47,23,516,3.4,1.6,36.9
2015-09,1,4,2,2,175,0.5,0.5,43.8
2015-10,1,13,25,21,801,1.9,1.6,61.6
2016-01,1,1,38,38,29,38.0,38.0,29.0
2016-11,1,41,7435,9268,1148,181.3,226.0,28.0
2016-12,1,2,4,4,54,2.0,2.0,27.0
2017-01,1,1,0,0,8,0.0,0.0,8.0
2017-02,1,10,2333,2322,508,233.3,232.2,50.8
2017-03,1,17,1432,1775,743,84.2,104.4,43.7
2017-04,1,6,67,60,269,11.2,10.0,44.8
2017-07,1,7,21,13,371,3.0,1.9,53.0
2017-08,1,2,2,2,148,1.0,1.0,74.0
2017-11,1,1,1,1,260,1.0,1.0,260.0
2017-12,1,5,1564,4979,224,312.8,995.8,44.8
2018-01,1,45,12040,8050,1862,267.6,178.9,41.4
2018-02,1,36,3544,2436,1290,98.4,67.7,35.8
2018-03,1,62,4874,2895,2315,78.6,46.7,37.3
2018-04,1,32,773,316,1130,24.2,9.9,35.3
2018-05,1,11,941,626,404,85.5,56.9,36.7
2018-06,1,42,4159,3613,2144,99.0,86.0,51.0
2018-07,1,24,193,82,1507,8.0,3.4,62.8
2018-08,1,48,317,113,2870,6.6,2.4,59.8
2018-09,1,30,7088,7231,1898,236.3,241.0,63.3
2018-10,1,11,31,24,695,2.8,2.2,63.2
2018-11,1,16,65,26,1087,4.1,1.6,67.9
2018-12,1,33,314,315,950,9.5,9.5,28.8
2019-01,1,1,265,0,38,265.0,0.0,38.0
2019-02,1,37,444,144,2657,12.0,3.9,71.8
2019-03,1,17,373,6123,20739,21.9,360.2,1219.9
2019-04,1,13,229,32,773,17.6,2.5,59.5
2019-05,1,21,367,207,1214,17.5,9.9,57.8
2019-06,1,19,50,57,908,2.6,3.0,47.8
2019-07,1,13,92,27,843,7.1,2.1,64.8
2019-11,1,6,4,4,426,0.7,0.7,71.0
2020-01,1,9,2553,1388,520,283.7,154.2,57.8
2020-04,1,1,0,0,85,0.0,0.0,85.0
2020-05,1,1,3,3,39,3.0,3.0,39.0
2020-06,1,1,0,0,121,0.0,0.0,121.0
2020-10,1,3,2,2,55,0.7,0.7,18.3
2020-11,1,23,38,187,1327,1.7,8.1,57.7
2020-12,1,18,1572,787,829,87.3,43.7,46.1
2021-01,1,9,494,130,343,54.9,14.4,38.1
2021-02,1,15,21,14,864,1.4,0.9,57.6
2021-03,1,54,8734,308,2253,161.7,5.7,41.7
2021-06,1,8,21115,4881,254,2639.4,610.1,31.8
2021-07,1,4,1,1,335,0.2,0.2,83.8
2021-08,1,7,342,64,761,48.9,9.1,108.7
2021-09,1,43,542,208,2686,12.6,4.8,62.5
2021-10,1,30,167,48,1640,5.6,1.6,54.7
2021-11,1,6,215,47,361,35.8,7.8,60.2
2021-12,1,19,594,255,855,31.3,13.4,45.0
2022-01,1,25,389,119,1714,15.6,4.8,68.6
2022-02,1,24,2996,2909,2264,124.8,121.2,94.3
2022-03,1,22,55,22,1524,2.5,1.0,69.3
