month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,4,1816,5,193,454.0,1.2,48.2
2014-04,1,5,11,10,238,2.2,2.0,47.6
2014-05,1,2,4,4,62,2.0,2.0,31.0
2014-06,1,2,2,2,73,1.0,1.0,36.5
2014-07,1,2,74,0,36,37.0,0.0,18.0
2014-08,1,1,0,0,41,0.0,0.0,41.0
2014-09,1,4,4,4,138,1.0,1.0,34.5
2015-01,1,9,84,41,305,9.3,4.6,33.9
2015-02,1,3,4,4,163,1.3,1.3,54.3
2015-03,1,1,2,2,28,2.0,2.0,28.0
2015-05,1,2,32,24,108,16.0,12.0,54.0
2015-06,1,3,3,3,225,1.0,1.0,75.0
2015-07,1,7,28,9,333,4.0,1.3,47.6
2015-08,1,2,1,1,41,0.5,0.5,20.5
2016-01,1,1,22,22,29,22.0,22.0,29.0
2016-06,1,1,2,2,98,2.0,2.0,98.0
2016-07,1,3,3,3,106,1.0,1.0,35.3
2018-02,1,2,1,1,86,0.5,0.5,43.0
2018-06,1,2,4,4,61,2.0,2.0,30.5
2019-12,1,1,6,30,55,6.0,30.0,55.0
