month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,5,434,5,284,86.8,1.0,56.8
2014-04,1,2,5,0,40,2.5,0.0,20.0
2014-07,1,2,74,0,36,37.0,0.0,18.0
2014-08,1,5,4,4,246,0.8,0.8,49.2
2014-10,1,4,9,5,249,2.2,1.2,62.2
2015-03,1,7,17,17,749,2.4,2.4,107.0
2015-05,1,1,14,14,48,14.0,14.0,48.0
2015-07,1,3,24,5,68,8.0,1.7,22.7
2015-08,1,2,1,1,41,0.5,0.5,20.5
2016-01,1,1,14,14,29,14.0,14.0,29.0
2016-04,1,1,1,1,37,1.0,1.0,37.0
2016-07,1,2,2,2,69,1.0,1.0,34.5
2019-12,1,1,6,30,55,6.0,30.0,55.0
