month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,3,292,3,142,97.3,1.0,47.3
2014-04,1,2,4,0,40,2.0,0.0,20.0
2014-06,1,1,2,2,28,2.0,2.0,28.0
2014-07,1,2,74,0,36,37.0,0.0,18.0
2014-08,1,1,0,0,41,0.0,0.0,41.0
2014-09,1,3,55,59,178,18.3,19.7,59.3
2015-05,1,1,8,8,48,8.0,8.0,48.0
2015-07,1,3,24,5,68,8.0,1.7,22.7
2015-08,1,3,2,2,122,0.7,0.7,40.7
2016-01,1,1,8,8,29,8.0,8.0,29.0
2016-04,1,2,2,2,102,1.0,1.0,51.0
2016-07,1,2,2,2,69,1.0,1.0,34.5
2021-02,1,1,2,0,16,2.0,0.0,16.0
