month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,3,294,3,148,98.0,1.0,49.3
2014-04,1,2,4,0,40,2.0,0.0,20.0
2014-06,1,1,2,2,28,2.0,2.0,28.0
2014-07,1,2,74,0,36,37.0,0.0,18.0
2014-08,1,1,0,0,41,0.0,0.0,41.0
2014-10,1,6,184,31,401,30.7,5.2,66.8
2014-11,1,1,92,52,76,92.0,52.0,76.0
2015-03,1,3,0,4,191,0.0,1.3,63.7
2015-05,1,1,12,12,48,12.0,12.0,48.0
2015-07,1,2,22,3,40,11.0,1.5,20.0
2015-08,1,9,15,15,406,1.7,1.7,45.1
2016-01,1,1,12,12,29,12.0,12.0,29.0
2016-07,1,3,3,3,106,1.0,1.0,35.3
2019-11,1,2,6,30,160,3.0,15.0,80.0
