month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,3,413,3,140,137.7,1.0,46.7
2014-04,1,2,4,0,40,2.0,0.0,20.0
2014-06,1,1,2,2,16,2.0,2.0,16.0
2014-07,1,2,74,0,36,37.0,0.0,18.0
2014-08,1,1,0,0,41,0.0,0.0,41.0
2015-01,1,3,9,22,54,3.0,7.3,18.0
2015-05,1,2,23,11,101,11.5,5.5,50.5
2015-07,1,5,26,7,196,5.2,1.4,39.2
2015-08,1,2,1,1,41,0.5,0.5,20.5
2016-01,1,1,10,10,29,10.0,10.0,29.0
2016-07,1,3,3,3,95,1.0,1.0,31.7
2019-11,1,2,6,30,160,3.0,15.0,80.0
