month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,3,574,3,140,191.3,1.0,46.7
2014-04,1,2,4,0,40,2.0,0.0,20.0
2014-05,1,5,9,8,209,1.8,1.6,41.8
2014-06,1,2,2,2,80,1.0,1.0,40.0
2014-07,1,2,74,0,36,37.0,0.0,18.0
2014-08,1,1,0,0,41,0.0,0.0,41.0
2014-11,1,4,121,10,57,30.2,2.5,14.2
2015-01,1,3,3,16,54,1.0,5.3,18.0
2015-02,1,2,1,1,94,0.5,0.5,47.0
2015-03,1,4,6,6,183,1.5,1.5,45.8
2015-04,1,3,4,4,184,1.3,1.3,61.3
2015-05,1,3,21,21,185,7.0,7.0,61.7
2015-06,1,1,2,2,28,2.0,2.0,28.0
2015-07,1,3,24,5,69,8.0,1.7,23.0
2015-08,1,2,1,1,41,0.5,0.5,20.5
2016-01,1,1,20,20,29,20.0,20.0,29.0
2016-07,1,3,3,3,107,1.0,1.0,35.7
2019-12,1,1,6,30,55,6.0,30.0,55.0
