month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,3,2225,3,130,741.7,1.0,43.3
2014-04,1,4,6,2,150,1.5,0.5,37.5
2014-05,1,5,9,4,408,1.8,0.8,81.6
2014-06,1,1,12,11,12,12.0,11.0,12.0
2014-07,1,5,482,179,185,96.4,35.8,37.0
2014-08,1,17,80,76,718,4.7,4.5,42.2
2014-09,1,15,50,24,530,3.3,1.6,35.3
2014-10,1,8,13,18,292,1.6,2.2,36.5
2014-11,1,1,2,2,16,2.0,2.0,16.0
2015-02,1,5,20,16,449,4.0,3.2,89.8
2015-03,1,12,146,88,671,12.2,7.3,55.9
2015-05,1,6,45,45,419,7.5,7.5,69.8
2015-06,1,4,11,6,608,2.8,1.5,152.0
2015-07,1,14,1405,1390,680,100.4,99.3,48.6
2015-08,1,4,3,3,133,0.8,0.8,33.2
2016-01,1,1,34,34,29,34.0,34.0,29.0
2016-04,1,1,1,1,37,1.0,1.0,37.0
2016-07,1,2,2,2,69,1.0,1.0,34.5
2019-11,1,2,6,30,161,3.0,15.0,80.5
