month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,2,588,2,64,294.0,1.0,32.0
2014-04,1,13,37,26,699,2.8,2.0,53.8
2014-05,1,1,3,2,58,3.0,2.0,58.0
2014-06,1,2,2,2,33,1.0,1.0,16.5
2014-07,1,2,74,0,36,37.0,0.0,18.0
2014-08,1,4,7,4,350,1.8,1.0,87.5
2014-12,1,1,24,1,18,24.0,1.0,18.0
2015-02,1,1,15,19,21,15.0,19.0,21.0
2015-03,1,1,2,2,28,2.0,2.0,28.0
2015-05,1,1,26,26,48,26.0,26.0,48.0
2015-07,1,2,22,3,40,11.0,1.5,20.0
2015-08,1,5,9,9,194,1.8,1.8,38.8
2016-01,1,1,26,26,29,26.0,26.0,29.0
2017-01,1,3,3,3,114,1.0,1.0,38.0
2020-10,1,4,2,3,130,0.5,0.8,32.5
2021-02,1,1,2,0,16,2.0,0.0,16.0
