month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-12,1,6,170,6,94,28.3,1.0,15.7
2017-01,1,4,148,11,113,37.0,2.8,28.2
2017-10,1,3,26,26,261,8.7,8.7,87.0
2018-04,1,2,5,13,89,2.5,6.5,44.5
2019-09,1,8,939,521,241,117.4,65.1,30.1
2019-10,1,45,15690,1438,1766,348.7,32.0,39.2
2019-11,1,9,38,22,650,4.2,2.4,72.2
2019-12,1,2,1,0,137,0.5,0.0,68.5
2020-01,1,2,9,1,135,4.5,0.5,67.5
2020-02,1,2,1,0,103,0.5,0.0,51.5
2020-03,1,10,81,21,679,8.1,2.1,67.9
2020-04,1,6,47,2,298,7.8,0.3,49.7
2020-05,1,6,34,3,311,5.7,0.5,51.8
2020-06,1,8,11,3,958,1.4,0.4,119.8
2020-07,1,10,103,46,794,10.3,4.6,79.4
2020-08,1,4,66,63,516,16.5,15.8,129.0
2020-09,1,25,338,155,2318,13.5,6.2,92.7
2020-10,1,16,137,41,751,8.6,2.6,46.9
2020-11,1,4,6,6,970,1.5,1.5,242.5
2020-12,1,2,1,0,114,0.5,0.0,57.0
2021-01,1,102,189,67,2211,1.9,0.7,21.7
2021-02,1,4,8,0,212,2.0,0.0,53.0
2021-03,1,6,24,15,932,4.0,2.5,155.3
2021-04,1,3,39,19,485,13.0,6.3,161.7
2021-05,1,11,52,41,2514,4.7,3.7,228.5
2021-06,1,4,366,318,562,91.5,79.5,140.5
2021-07,1,10,43,13,405,4.3,1.3,40.5
2021-08,1,13,81,61,2500,6.2,4.7,192.3
2021-09,1,2,44,13,541,22.0,6.5,270.5
2021-10,1,2,1,0,108,0.5,0.0,54.0
2021-11,1,2,2,0,78,1.0,0.0,39.0
2022-01,1,6,9,32,802,1.5,5.3,133.7
2022-02,1,10,17,15,2199,1.7,1.5,219.9
2022-03,1,4,5,4,243,1.2,1.0,60.8
2022-04,1,3,6,4,523,2.0,1.3,174.3
2022-05,1,1,0,0,107,0.0,0.0,107.0
2022-06,1,5,7,6,1259,1.4,1.2,251.8
2022-07,1,2,3,3,570,1.5,1.5,285.0
2022-08,1,2,2,0,150,1.0,0.0,75.0
2022-10,1,2,3,2,145,1.5,1.0,72.5
2022-12,1,1,2,0,16,2.0,0.0,16.0
