month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-07,1,7,133,13,182,19.0,1.9,26.0
2016-08,1,1,66,2,34,66.0,2.0,34.0
2016-09,1,2,51,15,84,25.5,7.5,42.0
2016-11,1,4,9,9,206,2.2,2.2,51.5
2016-12,1,6,6,3,192,1.0,0.5,32.0
2017-01,1,1,3,3,37,3.0,3.0,37.0
2017-03,1,1,56,1,29,56.0,1.0,29.0
2017-04,1,2,153,21,70,76.5,10.5,35.0
2017-08,1,7,42,20,199,6.0,2.9,28.4
2018-04,1,1,4,4,50,4.0,4.0,50.0
2018-06,1,4,15,8,125,3.8,2.0,31.2
2018-07,1,3,15,5,108,5.0,1.7,36.0
2018-10,1,2,128,8,42,64.0,4.0,21.0
2018-12,1,1,5,0,17,5.0,0.0,17.0
2019-01,1,4,84,6,129,21.0,1.5,32.2
2019-02,1,5,228,60,166,45.6,12.0,33.2
2019-04,1,1,8,8,35,8.0,8.0,35.0
2019-05,1,2,202,2,34,101.0,1.0,17.0
2019-07,1,1,1,1,14,1.0,1.0,14.0
2019-09,1,5,142,230,183,28.4,46.0,36.6
2019-10,1,2,18,2,64,9.0,1.0,32.0
2019-11,1,1,10,4,49,10.0,4.0,49.0
2019-12,1,1,7,7,54,7.0,7.0,54.0
2020-03,1,3,248,1,77,82.7,0.3,25.7
2020-05,1,1,10,0,28,10.0,0.0,28.0
2020-11,1,1,1,1,33,1.0,1.0,33.0
2021-03,1,1,34,26,36,34.0,26.0,36.0
2021-10,1,1,4,4,41,4.0,4.0,41.0
2022-05,1,1,4,0,41,4.0,0.0,41.0
2022-06,1,1,2,2,44,2.0,2.0,44.0
2022-10,1,3,259,7,102,86.3,2.3,34.0
2022-11,1,4,97,65,205,24.2,16.2,51.2
2022-12,1,1,3,3,48,3.0,3.0,48.0
2025-02,1,2,58,64,95,29.0,32.0,47.5
2025-04,1,1,1,1,22,1.0,1.0,22.0
2025-06,1,2,263,5,87,131.5,2.5,43.5
2025-08,1,1,1,1,94,1.0,1.0,94.0
2025-10,1,1,5,5,63,5.0,5.0,63.0
2025-11,1,1,10,5,32,10.0,5.0,32.0
2025-12,1,1,16,12,48,16.0,12.0,48.0
