month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,2,960,2,56,480.0,1.0,28.0
2014-04,1,4,26,24,134,6.5,6.0,33.5
2014-07,1,3,76,2,54,25.3,0.7,18.0
2014-08,1,2,7,4,66,3.5,2.0,33.0
2014-09,1,2,3,3,102,1.5,1.5,51.0
2014-10,1,2,4,2,45,2.0,1.0,22.5
2014-11,1,1,6,6,8,6.0,6.0,8.0
2014-12,1,3,18,3,68,6.0,1.0,22.7
2015-01,1,3,5,5,77,1.7,1.7,25.7
2015-04,1,3,59,6,132,19.7,2.0,44.0
2015-05,1,4,73,54,166,18.2,13.5,41.5
2015-07,1,3,24,5,68,8.0,1.7,22.7
2015-08,1,3,4,4,113,1.3,1.3,37.7
2015-11,1,1,2,2,28,2.0,2.0,28.0
2016-02,1,6,514,489,134,85.7,81.5,22.3
2016-03,1,1,1,1,7,1.0,1.0,7.0
2016-07,1,1,86,82,40,86.0,82.0,40.0
2016-08,1,6,52,49,146,8.7,8.2,24.3
2016-09,1,5,9,9,144,1.8,1.8,28.8
2016-10,1,4,7,7,120,1.8,1.8,30.0
2016-11,1,2,37,2,41,18.5,1.0,20.5
2016-12,1,2,2,3,51,1.0,1.5,25.5
2017-01,1,1,35,35,33,35.0,35.0,33.0
2017-02,1,7,12,79,180,1.7,11.3,25.7
2018-02,1,1,2,1,37,2.0,1.0,37.0
2018-11,1,2,3,3,56,1.5,1.5,28.0
2019-05,1,1,64,7,23,64.0,7.0,23.0
2019-11,1,2,84,20,122,42.0,10.0,61.0
2019-12,1,2,5,27,40,2.5,13.5,20.0
2020-02,1,1,7,0,45,7.0,0.0,45.0
2020-03,1,1,19,0,36,19.0,0.0,36.0
2020-04,1,1,14,0,22,14.0,0.0,22.0
2020-06,1,21,506,480,1064,24.1,22.9,50.7
2020-07,1,22,137,121,1090,6.2,5.5,49.5
2020-09,1,7,2317,167,136,331.0,23.9,19.4
2020-10,1,4,309,668,111,77.2,167.0,27.8
2020-11,1,1,121,160,47,121.0,160.0,47.0
2020-12,1,6,64,41,210,10.7,6.8,35.0
2021-01,1,1,13,14,47,13.0,14.0,47.0
2021-03,1,1,13,10,47,13.0,10.0,47.0
2021-04,1,3,4,4,92,1.3,1.3,30.7
2021-05,1,1,40,33,49,40.0,33.0,49.0
2021-06,1,1,54,10,51,54.0,10.0,51.0
2021-10,1,6,25,23,156,4.2,3.8,26.0
2021-12,1,1,26,26,51,26.0,26.0,51.0
2022-01,1,4,109,27,137,27.2,6.8,34.2
2022-02,1,2,43,73,51,21.5,36.5,25.5
2022-06,1,1,3,58,44,3.0,58.0,44.0
2022-08,1,1,0,113,26,0.0,113.0,26.0
2023-06,1,1,1,1,13,1.0,1.0,13.0
2023-07,1,1,4,0,16,4.0,0.0,16.0
2023-08,1,1,7,0,16,7.0,0.0,16.0
2023-11,1,1,2,43,36,2.0,43.0,36.0
2025-07,1,1,3,3,14,3.0,3.0,14.0
2026-03,1,1,13,0,44,13.0,0.0,44.0
2026-06,1,1,1,1,52,1.0,1.0,52.0
2026-07,1,5,1134,368,208,226.8,73.6,41.6
2026-08,1,2,2,2,101,1.0,1.0,50.5
