month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,12,7359,17,639,613.2,1.4,53.2
2014-04,1,14,141,97,550,10.1,6.9,39.3
2014-05,1,9,14,12,368,1.6,1.3,40.9
2014-06,1,7,5,8,405,0.7,1.1,57.9
2014-07,1,21,152,77,928,7.2,3.7,44.2
2014-08,1,10,300,229,424,30.0,22.9,42.4
2014-09,1,20,525,547,1209,26.2,27.4,60.5
2014-10,1,1,6,5,18,6.0,5.0,18.0
2014-11,1,10,278,263,697,27.8,26.3,69.7
2014-12,1,4,6,4,481,1.5,1.0,120.2
2015-01,1,39,793,762,1148,20.3,19.5,29.4
2015-02,1,16,147,138,769,9.2,8.6,48.1
2015-03,1,2,7,2,206,3.5,1.0,103.0
2015-04,1,6,12,14,484,2.0,2.3,80.7
2015-05,1,5,116,82,389,23.2,16.4,77.8
2015-06,1,15,30,17,652,2.0,1.1,43.5
2015-07,1,11,59,18,447,5.4,1.6,40.6
2015-08,1,9,20,20,500,2.2,2.2,55.6
2015-09,1,2,9,2,177,4.5,1.0,88.5
2015-10,1,1,2,2,28,2.0,2.0,28.0
2015-11,1,74,6975,8126,3156,94.3,109.8,42.6
2015-12,1,10,55,41,448,5.5,4.1,44.8
2016-01,1,1,15,15,35,15.0,15.0,35.0
2016-02,1,4,4,6,324,1.0,1.5,81.0
2016-03,1,2,7,0,53,3.5,0.0,26.5
2016-04,1,4,50,33,351,12.5,8.2,87.8
2016-07,1,6,269,386,312,44.8,64.3,52.0
2016-08,1,8,210,211,370,26.2,26.4,46.2
2016-09,1,30,915,858,1137,30.5,28.6,37.9
2016-10,1,6,310,257,359,51.7,42.8,59.8
2017-01,1,5,159,157,226,31.8,31.4,45.2
2017-02,1,1,2,2,28,2.0,2.0,28.0
2017-06,1,2,1817,1619,78,908.5,809.5,39.0
2017-07,1,27,3049,1732,981,112.9,64.1,36.3
2017-08,1,2,2,8,64,1.0,4.0,32.0
2017-10,1,5,287,290,535,57.4,58.0,107.0
2017-11,1,3,4,4,139,1.3,1.3,46.3
2017-12,1,1,2,2,27,2.0,2.0,27.0
2018-02,1,5,43,29,243,8.6,5.8,48.6
2018-03,1,2,103,41,56,51.5,20.5,28.0
2018-04,1,2,43,45,32,21.5,22.5,16.0
2018-05,1,1,0,0,135,0.0,0.0,135.0
2018-06,1,1,2,2,27,2.0,2.0,27.0
2018-08,1,3,4,3,188,1.3,1.0,62.7
2018-09,1,9,17,9,408,1.9,1.0,45.3
2018-10,1,4,2,2,323,0.5,0.5,80.8
2019-02,1,35,4587,3762,1131,131.1,107.5,32.3
2019-03,1,34,13646,2725,986,401.4,80.1,29.0
2019-04,1,89,3210,1319,2469,36.1,14.8,27.7
2019-05,1,97,4669,2053,3959,48.1,21.2,40.8
2019-06,1,57,1618,457,2786,28.4,8.0,48.9
2019-07,1,53,1594,287,3104,30.1,5.4,58.6
2019-08,1,22,203,113,1134,9.2,5.1,51.5
