month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,4,541,6,174,135.2,1.5,43.5
2014-04,1,1,4,0,20,4.0,0.0,20.0
2014-05,1,1,2,2,26,2.0,2.0,26.0
2014-07,1,3,78,4,91,26.0,1.3,30.3
2014-08,1,2,2,2,34,1.0,1.0,17.0
2014-10,1,3,5,5,123,1.7,1.7,41.0
2014-11,1,7,60,5,541,8.6,0.7,77.3
2015-04,1,2,1,1,141,0.5,0.5,70.5
2015-07,1,3,24,5,68,8.0,1.7,22.7
2015-08,1,5,5,3,212,1.0,0.6,42.4
2016-01,1,1,6,6,29,6.0,6.0,29.0
2016-10,1,6,519,476,208,86.5,79.3,34.7
2018-01,1,1,0,1,516,0.0,1.0,516.0
2018-07,1,1,1,1,69,1.0,1.0,69.0
2019-03,1,3,464,245,91,154.7,81.7,30.3
2019-04,1,13,108,59,292,8.3,4.5,22.5
2019-05,1,8,484,189,248,60.5,23.6,31.0
2019-06,1,21,896,134,885,42.7,6.4,42.1
2019-08,1,1,0,0,75,0.0,0.0,75.0
2019-12,1,1,0,0,38,0.0,0.0,38.0
2020-02,1,3,5,1,174,1.7,0.3,58.0
2020-05,1,4,204,71,348,51.0,17.8,87.0
2020-06,1,3,0,0,163,0.0,0.0,54.3
2020-10,1,4,2,2,130,0.5,0.5,32.5
2021-02,1,1,2,0,16,2.0,0.0,16.0
