month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-12,1,11,1033,160,393,93.9,14.5,35.7
2016-02,1,2,4,5,70,2.0,2.5,35.0
2016-04,1,5,10,6,229,2.0,1.2,45.8
2016-06,1,1,77,9,38,77.0,9.0,38.0
2016-09,1,8,25,1,690,3.1,0.1,86.2
2016-10,1,1,11,0,54,11.0,0.0,54.0
2016-12,1,2,1,1,135,0.5,0.5,67.5
2017-01,1,2,48,5,97,24.0,2.5,48.5
2017-04,1,3,2,2,97,0.7,0.7,32.3
2017-09,1,1,2,2,17,2.0,2.0,17.0
2018-01,1,1,1,1,18,1.0,1.0,18.0
2018-02,1,1,1,1,397,1.0,1.0,397.0
2018-08,1,3,1,1,182,0.3,0.3,60.7
2019-01,1,2,3,3,182,1.5,1.5,91.0
2019-05,1,1,21,34,164,21.0,34.0,164.0
2019-11,1,2,2,1,217,1.0,0.5,108.5
