month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2013-08,1,1,23,0,60,23.0,0.0,60.0
2013-09,1,2,73255,3035,49,36627.5,1517.5,24.5
2013-10,1,1,162,0,32,162.0,0.0,32.0
2013-12,1,2,3914,2843,162,1957.0,1421.5,81.0
2014-02,1,3,28,12,93,9.3,4.0,31.0
2014-03,1,1,9,10,54,9.0,10.0,54.0
2014-04,1,1,2,2,74,2.0,2.0,74.0
2014-05,1,1,33,12,142,33.0,12.0,142.0
2014-06,1,1,3,3,37,3.0,3.0,37.0
2014-10,1,1,1,2,72,1.0,2.0,72.0
2015-02,1,1,3,3,32,3.0,3.0,32.0
2015-08,1,3,152,27,124,50.7,9.0,41.3
2015-09,1,3,1,1,256,0.3,0.3,85.3
2016-07,1,1,7,7,30,7.0,7.0,30.0
2017-02,1,1,8,7,46,8.0,7.0,46.0
