month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2017-07,1,60,62359,34315,3276,1039.3,571.9,54.6
2017-08,1,95,4475,2291,4994,47.1,24.1,52.6
2017-09,1,211,14134,12184,6548,67.0,57.7,31.0
2017-10,1,402,5249,1737,10044,13.1,4.3,25.0
2017-11,1,506,6713,19866,14053,13.3,39.3,27.8
2017-12,1,183,5446,11063,5464,29.8,60.5,29.9
2018-01,1,100,15452,3673,3269,154.5,36.7,32.7
2018-02,1,46,3125,2661,1608,67.9,57.8,35.0
2018-03,1,122,5081,1410,3597,41.6,11.6,29.5
2018-04,1,120,2715,1035,3980,22.6,8.6,33.2
2018-05,1,98,3846,917,3600,39.2,9.4,36.7
2018-06,1,156,11382,4792,11061,73.0,30.7,70.9
2018-07,1,238,12714,8977,17173,53.4,37.7,72.2
2018-08,1,169,6036,2991,10142,35.7,17.7,60.0
2018-09,1,176,5027,1840,13735,28.6,10.5,78.0
2018-10,1,86,2131,420,6024,24.8,4.9,70.0
2018-11,1,96,27583,19353,6347,287.3,201.6,66.1
2018-12,1,84,63166,3242,5738,752.0,38.6,68.3
2019-01,1,96,3087,2728,6050,32.2,28.4,63.0
2019-02,1,109,1502,963,5408,13.8,8.8,49.6
2019-03,1,74,25382,21326,3277,343.0,288.2,44.3
2019-04,1,34,11680,1232,883,343.5,36.2,26.0
2019-05,1,15,2497,89065,456,166.5,5937.7,30.4
2019-06,1,2,146,15,204,73.0,7.5,102.0
2019-07,1,11,2903,2058,492,263.9,187.1,44.7
2019-08,1,32,6254,39669,1376,195.4,1239.7,43.0
2019-09,1,52,3878,1689,1633,74.6,32.5,31.4
2019-10,1,10,2047,1585,303,204.7,158.5,30.3
2019-11,1,1,31,1,50,31.0,1.0,50.0
2020-03,1,1,3,3,282,3.0,3.0,282.0
2020-04,1,7,2832,2263,360,404.6,323.3,51.4
2020-07,1,3,1946,68,900,648.7,22.7,300.0
2020-08,1,17,2008,2047,1508,118.1,120.4,88.7
2020-09,1,1,3,3,485,3.0,3.0,485.0
2020-11,1,1,134,83,40,134.0,83.0,40.0
2021-01,1,4,71,6,1052,17.8,1.5,263.0
2021-02,1,1,6,6,484,6.0,6.0,484.0
2021-03,1,1,16,16,392,16.0,16.0,392.0
2021-05,1,3,2234,1975,867,744.7,658.3,289.0
2021-07,1,1,3,3,550,3.0,3.0,550.0
2021-09,1,3,25,35,105,8.3,11.7,35.0
2021-11,1,1,1,0,43,1.0,0.0,43.0
2022-01,1,1,1,1,61,1.0,1.0,61.0
2022-03,1,17,20686,14151,15330,1216.8,832.4,901.8
2022-04,1,39,41063,5337,4995,1052.9,136.8,128.1
2022-05,1,26,1494,1090,3431,57.5,41.9,132.0
2022-06,1,36,9332,8534,4248,259.2,237.1,118.0
2022-07,1,20,1308,7042,1245,65.4,352.1,62.2
2022-08,1,15,1643,2008,758,109.5,133.9,50.5
2022-09,1,12,640,518,635,53.3,43.2,52.9
2022-10,1,16,33607,17780,535,2100.4,1111.2,33.4
2022-11,1,38,12410,31662,1499,326.6,833.2,39.4
2022-12,1,16,466,207,461,29.1,12.9,28.8
2023-01,1,2,147,74,57,73.5,37.0,28.5
2023-02,1,8,76,36,224,9.5,4.5,28.0
2023-03,1,5,187,57,277,37.4,11.4,55.4
2023-04,1,16,3029,3021,514,189.3,188.8,32.1
2023-05,1,7,194,86,322,27.7,12.3,46.0
2023-06,1,10,1332,157,448,133.2,15.7,44.8
2023-07,1,17,4266,3924,914,250.9,230.8,53.8
2023-08,1,14,1730,825,485,123.6,58.9,34.6
2023-09,1,4,981,850,103,245.2,212.5,25.8
2023-10,1,15,1005,766,990,67.0,51.1,66.0
2023-11,1,8,623,462,620,77.9,57.8,77.5
2023-12,1,49,4794,3240,2145,97.8,66.1,43.8
2024-01,1,40,5113,2930,1706,127.8,73.2,42.6
2024-02,1,12,1963,1231,348,163.6,102.6,29.0
2024-03,1,10,2589,1290,987,258.9,129.0,98.7
2024-04,1,44,13967,11223,1356,317.4,255.1,30.8
2024-05,1,9,267,248,713,29.7,27.6,79.2
2024-06,1,4,400,288,405,100.0,72.0,101.2
2024-07,1,3,146,96,66,48.7,32.0,22.0
2024-09,1,1,3,4,26,3.0,4.0,26.0
2024-11,1,1,418,118,44,418.0,118.0,44.0
