month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2023-07,1,122,32873,15611,4594,269.5,128.0,37.7,5
2023-08,1,141,30912,5600,4679,219.2,39.7,33.2,8
2023-09,1,36,381,31168,1599,10.6,865.8,44.4,5
2023-10,1,8,1740,12,199,217.5,1.5,24.9,3
2023-11,1,8,11750,66,348,1468.8,8.2,43.5,1
2023-12,1,5,29879,13305,262,5975.8,2661.0,52.4,2
2024-01,1,5,5951,4947,296,1190.2,989.4,59.2,4
2024-02,1,1,1,1,25,1.0,1.0,25.0,1
2024-04,1,7,6046,3909,484,863.7,558.4,69.1,3
2024-06,1,1,1416,1273,42,1416.0,1273.0,42.0,1
2024-07,1,2,3814,2947,332,1907.0,1473.5,166.0,2
