month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2013-10,1,4,4848,111,104,1212.0,27.8,26.0
2014-04,1,16,2702,762,306,168.9,47.6,19.1
2014-05,1,3,24,14,94,8.0,4.7,31.3
2014-06,1,1,1,1,58,1.0,1.0,58.0
2014-07,1,1,3,3,27,3.0,3.0,27.0
2014-08,1,6,96,79,149,16.0,13.2,24.8
2014-10,1,6,5902,12,218,983.7,2.0,36.3
2014-11,1,18,1304,492,645,72.4,27.3,35.8
2014-12,1,3,7,26,127,2.3,8.7,42.3
2015-01,1,2,35,11,84,17.5,5.5,42.0
2015-02,1,5,2089,1979,138,417.8,395.8,27.6
2015-03,1,22,2087,392,1004,94.9,17.8,45.6
2015-04,1,12,7640,7352,453,636.7,612.7,37.8
2015-05,1,27,5473,2832,992,202.7,104.9,36.7
2015-06,1,13,1058,101,548,81.4,7.8,42.2
2015-07,1,8,277,71,356,34.6,8.9,44.5
2015-08,1,15,190,85,617,12.7,5.7,41.1
2015-09,1,16,14970,6661,691,935.6,416.3,43.2
2015-10,1,13,1012,64,470,77.8,4.9,36.2
2015-11,1,15,257,64,717,17.1,4.3,47.8
2015-12,1,3,24,14,136,8.0,4.7,45.3
2016-01,1,3,112,78,89,37.3,26.0,29.7
2016-02,1,11,405,376,469,36.8,34.2,42.6
2016-03,1,7,50,9,345,7.1,1.3,49.3
2016-04,1,4,2750,1375,137,687.5,343.8,34.2
2016-05,1,10,9201,281,507,920.1,28.1,50.7
2016-06,1,7,15045,324,355,2149.3,46.3,50.7
2016-07,1,3,423,365,138,141.0,121.7,46.0
2016-08,1,2,72,8,98,36.0,4.0,49.0
2016-09,1,4,57,8,190,14.2,2.0,47.5
2016-10,1,4,6467,13,158,1616.8,3.2,39.5
2016-11,1,3,29,17,122,9.7,5.7,40.7
2016-12,1,3,95,17,136,31.7,5.7,45.3
2017-01,1,4,14,15,187,3.5,3.8,46.8
2017-02,1,4,21,5,105,5.2,1.2,26.2
2017-03,1,4,12,7,175,3.0,1.8,43.8
2017-04,1,12,127,74,556,10.6,6.2,46.3
2017-05,1,2,11,6,84,5.5,3.0,42.0
2017-06,1,1,47,5,44,47.0,5.0,44.0
2017-08,1,12,253,148,508,21.1,12.3,42.3
2017-09,1,2,1,7,62,0.5,3.5,31.0
2017-10,1,6,1638,74,385,273.0,12.3,64.2
2017-11,1,7,664,258,325,94.9,36.9,46.4
2017-12,1,9,248,101,563,27.6,11.2,62.6
2018-01,1,1,1,1,27,1.0,1.0,27.0
2018-02,1,3,119,31,86,39.7,10.3,28.7
2018-03,1,12,394,12081,502,32.8,1006.8,41.8
2018-04,1,5,716,692,298,143.2,138.4,59.6
2018-05,1,1,1,1,74,1.0,1.0,74.0
2018-06,1,10,944,856,507,94.4,85.6,50.7
2018-08,1,2,14,5,126,7.0,2.5,63.0
2018-09,1,5,99,21,210,19.8,4.2,42.0
2018-10,1,3,42,22,129,14.0,7.3,43.0
2018-11,1,1,1,1,34,1.0,1.0,34.0
2018-12,1,1,48,2,65,48.0,2.0,65.0
2019-01,1,2,16,7,74,8.0,3.5,37.0
2019-02,1,4,35,5,170,8.8,1.2,42.5
2019-03,1,3,112,25,123,37.3,8.3,41.0
2019-05,1,2,15,5,91,7.5,2.5,45.5
2019-06,1,7,31,27,312,4.4,3.9,44.6
2019-09,1,3,112,12,193,37.3,4.0,64.3
2019-10,1,2,6,6,123,3.0,3.0,61.5
2020-01,1,1,13,5,91,13.0,5.0,91.0
2020-02,1,2,65,7,100,32.5,3.5,50.0
2020-04,1,5,75,86,168,15.0,17.2,33.6
2020-05,1,2,5,1,80,2.5,0.5,40.0
2020-07,1,1,52,1,47,52.0,1.0,47.0
2021-04,1,3,99,9,160,33.0,3.0,53.3
2021-05,1,4,4,4,180,1.0,1.0,45.0
2021-08,1,1,4,2,55,4.0,2.0,55.0
2021-09,1,1,10,3,36,10.0,3.0,36.0
2022-08,1,5,1409,1365,221,281.8,273.0,44.2
2024-04,1,3,22,16,156,7.3,5.3,52.0
2024-06,1,2,2,2,116,1.0,1.0,58.0
2024-09,1,2,786,13,124,393.0,6.5,62.0
2024-10,1,1,348,348,26,348.0,348.0,26.0
2025-03,1,1,87984,17,76,87984.0,17.0,76.0
2025-07,1,1,1,1,38,1.0,1.0,38.0
2025-09,1,2,3,3,50,1.5,1.5,25.0
