month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-11,1,16,950,345,931,59.4,21.6,58.2
2012-12,1,16,1708,897,1115,106.8,56.1,69.7
2013-01,1,17,2099,385,1665,123.5,22.6,97.9
2013-02,1,1,2,2,36,2.0,2.0,36.0
2013-06,1,13,621,547,465,47.8,42.1,35.8
2013-07,1,3,25,14,115,8.3,4.7,38.3
2013-10,1,1,5,0,10,5.0,0.0,10.0
2014-03,1,20,11289,1146,919,564.5,57.3,46.0
2014-04,1,12,532,458,534,44.3,38.2,44.5
2014-05,1,13,13226,6509,500,1017.4,500.7,38.5
2014-06,1,6,76,29,171,12.7,4.8,28.5
2014-07,1,64,3935,917,3941,61.5,14.3,61.6
2014-08,1,3,459,402,76,153.0,134.0,25.3
2014-11,1,1,4,0,42,4.0,0.0,42.0
2014-12,1,9,342,204,421,38.0,22.7,46.8
2015-01,1,4,8,3,90,2.0,0.8,22.5
2015-02,1,23,1078,338,1475,46.9,14.7,64.1
2015-03,1,12,486,138,564,40.5,11.5,47.0
2015-05,1,10,618,129,636,61.8,12.9,63.6
2015-06,1,17,833,593,1298,49.0,34.9,76.4
2015-07,1,2,34,3,70,17.0,1.5,35.0
2015-08,1,37,1623,722,3356,43.9,19.5,90.7
2015-09,1,53,5111,1319,6260,96.4,24.9,118.1
2015-10,1,28,3767,829,1953,134.5,29.6,69.8
2015-11,1,40,3066,716,2761,76.7,17.9,69.0
2015-12,1,23,2736,138,1211,119.0,6.0,52.7
2016-01,1,62,10753,917,5437,173.4,14.8,87.7
2016-02,1,52,6044,783,4440,116.2,15.1,85.4
2016-03,1,27,3447,1182,2762,127.7,43.8,102.3
2016-04,1,23,2783,1462,1318,121.0,63.6,57.3
2016-05,1,23,1515,667,1908,65.9,29.0,83.0
2016-06,1,45,3950,2397,3849,87.8,53.3,85.5
2016-07,1,40,7830,1602,3335,195.8,40.0,83.4
2016-08,1,50,10695,4422,3682,213.9,88.4,73.6
2016-09,1,30,1531,393,2305,51.0,13.1,76.8
2016-10,1,64,249642,590,4394,3900.7,9.2,68.7
2016-11,1,63,90639,33770,5195,1438.7,536.0,82.5
2016-12,1,42,17061,1670,4063,406.2,39.8,96.7
2017-01,1,62,10135,2561,7786,163.5,41.3,125.6
2017-02,1,81,19317,12043,5935,238.5,148.7,73.3
2017-03,1,52,6677,1546,3959,128.4,29.7,76.1
2017-04,1,28,1245,97,2231,44.5,3.5,79.7
2017-05,1,103,4539134,16146,7128,44069.3,156.8,69.2
2017-06,1,79,33034,4570,7702,418.2,57.8,97.5
2017-07,1,80,706481,1029109,6558,8831.0,12863.9,82.0
