month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,8,352,5,500,44.0,0.6,62.5
2014-04,1,2,6,0,40,3.0,0.0,20.0
2014-06,1,2,8,8,93,4.0,4.0,46.5
2014-07,1,5,95,9,122,19.0,1.8,24.4
2014-08,1,6,4,4,304,0.7,0.7,50.7
2014-09,1,7,42,18,358,6.0,2.6,51.1
2015-05,1,2,11,11,109,5.5,5.5,54.5
2015-07,1,3,24,5,68,8.0,1.7,22.7
2015-08,1,4,3,3,178,0.8,0.8,44.5
2016-01,1,1,10,10,29,10.0,10.0,29.0
2016-07,1,3,37,37,106,12.3,12.3,35.3
2019-11,1,1,6,30,55,6.0,30.0,55.0
