month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,3,385,3,132,128.3,1.0,44.0
2014-04,1,2,4,0,40,2.0,0.0,20.0
2014-05,1,3,3,3,178,1.0,1.0,59.3
2014-06,1,1,2,2,16,2.0,2.0,16.0
2014-07,1,2,74,0,36,37.0,0.0,18.0
2014-08,1,1,0,0,41,0.0,0.0,41.0
2015-05,1,1,12,12,48,12.0,12.0,48.0
2015-07,1,2,22,3,40,11.0,1.5,20.0
2015-08,1,3,3,3,69,1.0,1.0,23.0
2016-01,1,1,12,12,29,12.0,12.0,29.0
2016-07,1,3,4,4,106,1.3,1.3,35.3
2019-11,1,2,6,30,160,3.0,15.0,80.0
