month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-03,1,3,396,3,128,132.0,1.0,42.7
2014-04,1,2,4,0,40,2.0,0.0,20.0
2014-06,1,1,6,6,12,6.0,6.0,12.0
2014-07,1,2,74,0,36,37.0,0.0,18.0
2014-08,1,1,0,0,41,0.0,0.0,41.0
2014-11,1,2,8,8,47,4.0,4.0,23.5
2015-01,1,3,4,18,54,1.3,6.0,18.0
2015-05,1,1,8,8,48,8.0,8.0,48.0
2015-07,1,2,22,3,40,11.0,1.5,20.0
2015-08,1,3,3,3,69,1.0,1.0,23.0
2016-01,1,1,8,8,29,8.0,8.0,29.0
2016-07,1,3,3,3,106,1.0,1.0,35.3
2019-11,1,2,6,30,160,3.0,15.0,80.0
