month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-07,1,3,4745,0,1433,1581.7,0.0,477.7
2014-08,1,39,18293,478,8675,469.1,12.3,222.4
2014-09,1,58,18250,2648,21320,314.7,45.7,367.6
2014-10,1,63,15896,2898,17527,252.3,46.0,278.2
2014-11,1,36,7993,1191,14669,222.0,33.1,407.5
2014-12,1,66,6131,2222,22808,92.9,33.7,345.6
2015-01,1,25,2709,337,6631,108.4,13.5,265.2
2015-02,1,38,4927,1770,15293,129.7,46.6,402.4
2015-03,1,72,10871,2776,32552,151.0,38.6,452.1
2015-04,1,11,1771,432,4163,161.0,39.3,378.5
2015-05,1,25,6223,609,9115,248.9,24.4,364.6
2015-06,1,3,102,5,686,34.0,1.7,228.7
2015-07,1,1,572,256,168,572.0,256.0,168.0
2015-08,1,28,1907,451,13340,68.1,16.1,476.4
2015-09,1,42,5992,3178,21211,142.7,75.7,505.0
2015-10,1,80,8165,1931,31494,102.1,24.1,393.7
2015-11,1,44,3284,1491,15636,74.6,33.9,355.4
2015-12,1,16,1875,529,5977,117.2,33.1,373.6
2016-01,1,20,2286,841,7477,114.3,42.0,373.9
2016-02,1,6,2069,67,1430,344.8,11.2,238.3
2016-03,1,4,28,21,1227,7.0,5.2,306.8
2016-04,1,11,1447,549,5115,131.5,49.9,465.0
2016-05,1,6,231,118,4162,38.5,19.7,693.7
2016-06,1,7,174,84,4163,24.9,12.0,594.7
2016-07,1,1,19,13,386,19.0,13.0,386.0
2016-08,1,17,492,276,17698,28.9,16.2,1041.1
2016-09,1,13,522,45,5135,40.2,3.5,395.0
2016-10,1,10,1239,459,7514,123.9,45.9,751.4
2016-11,1,39,3313,2150,29104,84.9,55.1,746.3
2016-12,1,9,245,81,4929,27.2,9.0,547.7
2017-01,1,7,433,80,4143,61.9,11.4,591.9
2017-02,1,23,3311,1010,15417,144.0,43.9,670.3
2017-03,1,57,7539,1478,34796,132.3,25.9,610.5
2017-04,1,37,8400,4371,25831,227.0,118.1,698.1
2017-05,1,9,211,143,4133,23.4,15.9,459.2
2017-06,1,25,2339,377,15833,93.6,15.1,633.3
2017-07,1,24,4961,1147,9682,206.7,47.8,403.4
2017-08,1,6,2295,288,1972,382.5,48.0,328.7
2017-09,1,9,1454,696,3945,161.6,77.3,438.3
2017-10,1,56,5451,1955,66881,97.3,34.9,1194.3
2017-11,1,51,7761,2195,34702,152.2,43.0,680.4
2017-12,1,45,6251,2376,22797,138.9,52.8,506.6
2018-01,1,44,4969,846,22360,112.9,19.2,508.2
2018-02,1,72,7067,2507,38319,98.2,34.8,532.2
2018-03,1,19,229,137,6434,12.1,7.2,338.6
2018-04,1,40,6042,1367,22963,151.1,34.2,574.1
2018-05,1,30,2497,629,29209,83.2,21.0,973.6
2018-06,1,20,2226,179,9178,111.3,8.9,458.9
2018-07,1,22,2694,662,9095,122.5,30.1,413.4
2018-08,1,16,451,151,6876,28.2,9.4,429.8
2018-09,1,10,521,165,3835,52.1,16.5,383.5
2018-10,1,35,2406,325,15227,68.7,9.3,435.1
2018-11,1,25,1002,444,16515,40.1,17.8,660.6
2018-12,1,24,1388,1131,12951,57.8,47.1,539.6
2019-01,1,22,1447,1405,14823,65.8,63.9,673.8
2019-02,1,18,7298,165,9521,405.4,9.2,528.9
2019-03,1,15,481,215,21152,32.1,14.3,1410.1
2019-04,1,22,2627,923,9548,119.4,42.0,434.0
2019-05,1,15,986,375,7677,65.7,25.0,511.8
2019-06,1,14,297,406,6149,21.2,29.0,439.2
2019-07,1,15,434,341,6381,28.9,22.7,425.4
