month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2010-07,1,1,0,0,128,0.0,0.0,128.0
2010-09,1,38,14739,782,6491,387.9,20.6,170.8
2010-10,1,18,660,217,3289,36.7,12.1,182.7
2010-11,1,63,10133,2402,10278,160.8,38.1,163.1
2010-12,1,16,549,323,3606,34.3,20.2,225.4
2011-01,1,108,2559,1542,18702,23.7,14.3,173.2
2011-02,1,63,1953,1757,13663,31.0,27.9,216.9
2011-03,1,30,1445,725,8238,48.2,24.2,274.6
2011-04,1,8,577,440,2190,72.1,55.0,273.8
2011-05,1,5,630,336,1982,126.0,67.2,396.4
2011-06,1,8,409,231,2317,51.1,28.9,289.6
2011-07,1,4,607,48,1240,151.8,12.0,310.0
2011-08,1,9,1391,483,3029,154.6,53.7,336.6
2011-09,1,1,7,17,157,7.0,17.0,157.0
2011-10,1,3,31,33,743,10.3,11.0,247.7
2012-02,1,2,67,15,478,33.5,7.5,239.0
2012-03,1,14,285,130,2625,20.4,9.3,187.5
2012-04,1,15,3872,481,3704,258.1,32.1,246.9
2012-05,1,16,442,232,3932,27.6,14.5,245.8
2012-06,1,8,1290,778,1627,161.2,97.2,203.4
2012-07,1,9,262,67,3924,29.1,7.4,436.0
2012-08,1,5,67,37,960,13.4,7.4,192.0
2012-10,1,7,137,57,3703,19.6,8.1,529.0
2012-11,1,2,29,13,618,14.5,6.5,309.0
2012-12,1,1,7,0,744,7.0,0.0,744.0
2013-02,1,2,28,6,422,14.0,3.0,211.0
2013-03,1,1,1,0,235,1.0,0.0,235.0
2013-04,1,1,10,1,550,10.0,1.0,550.0
2013-05,1,1,2,1,274,2.0,1.0,274.0
2013-06,1,3,47,39,1781,15.7,13.0,593.7
2013-07,1,3,108,21,2694,36.0,7.0,898.0
2013-08,1,2,32,5,741,16.0,2.5,370.5
2013-09,1,1,90,45,254,90.0,45.0,254.0
2013-10,1,2,180,21,588,90.0,10.5,294.0
2013-11,1,5,96,22,1524,19.2,4.4,304.8
2013-12,1,1,48,34,343,48.0,34.0,343.0
2014-01,1,7,221,132,6487,31.6,18.9,926.7
2014-02,1,10,148,109,2784,14.8,10.9,278.4
2014-03,1,16,336,157,725,21.0,9.8,45.3
2014-04,1,11,87,14,857,7.9,1.3,77.9
2014-05,1,11,32,10,810,2.9,0.9,73.6
2014-06,1,31,1702,626,1199,54.9,20.2,38.7
2014-07,1,45,1063,1014,2151,23.6,22.5,47.8
2014-08,1,5,196,24,167,39.2,4.8,33.4
2014-09,1,4,114,13,338,28.5,3.2,84.5
2014-11,1,7,16,4,753,2.3,0.6,107.6
2015-01,1,3,35,34,315,11.7,11.3,105.0
2015-02,1,1,18,1,257,18.0,1.0,257.0
2015-03,1,12,118,9925,1514,9.8,827.1,126.2
2015-04,1,26,507,71,4627,19.5,2.7,178.0
2015-05,1,7,315,202,1349,45.0,28.9,192.7
2015-06,1,1,13,1,169,13.0,1.0,169.0
2015-07,1,2,515,12,137,257.5,6.0,68.5
2015-09,1,1,103,17,229,103.0,17.0,229.0
2015-10,1,4,103,3,494,25.8,0.8,123.5
2015-11,1,1,2,2,68,2.0,2.0,68.0
2015-12,1,3,14,1,966,4.7,0.3,322.0
2016-01,1,1,3,3,255,3.0,3.0,255.0
2016-03,1,8,112,23,1323,14.0,2.9,165.4
2016-04,1,3,83,23,882,27.7,7.7,294.0
2016-05,1,5,1298,650,1707,259.6,130.0,341.4
2016-06,1,5,394,284,1363,78.8,56.8,272.6
2016-07,1,3,112,107,378,37.3,35.7,126.0
2016-08,1,1,3,0,111,3.0,0.0,111.0
2016-10,1,1,0,1,282,0.0,1.0,282.0
2016-11,1,2,125,27,972,62.5,13.5,486.0
2016-12,1,1,31,6,510,31.0,6.0,510.0
2017-02,1,4,11,5,211,2.8,1.2,52.8
2017-03,1,3,2,1,296,0.7,0.3,98.7
2017-04,1,7,19,50,1899,2.7,7.1,271.3
2017-05,1,1,1,1,158,1.0,1.0,158.0
2017-08,1,2,8,2,292,4.0,1.0,146.0
