month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
1999-12,1,1,37273,0,16,37273.0,0.0,16.0
2000-01,1,22,537,10960,1310,24.4,498.2,59.5
2000-02,1,43,1384,782,2710,32.2,18.2,63.0
2000-03,1,70,2446,1588,3141,34.9,22.7,44.9
2000-04,1,17,629,186,946,37.0,10.9,55.6
2000-05,1,47,7414,5160,1753,157.7,109.8,37.3
2000-06,1,65,1270,733,2956,19.5,11.3,45.5
2000-07,1,39,9627,1133,2646,246.8,29.1,67.8
2000-08,1,52,2260,974,2711,43.5,18.7,52.1
2000-09,1,52,3167,863,2205,60.9,16.6,42.4
2000-10,1,78,2414,965,3732,30.9,12.4,47.8
2000-11,1,185,5712,2810,9697,30.9,15.2,52.4
2000-12,1,40,1187,259,1832,29.7,6.5,45.8
2001-01,1,149,6604,9094,7827,44.3,61.0,52.5
2001-02,1,58,3296,1636,2751,56.8,28.2,47.4
2001-03,1,223,6407,3656,12898,28.7,16.4,57.8
2001-04,1,97,3787,1011,4833,39.0,10.4,49.8
2001-05,1,140,6109,4123,8476,43.6,29.4,60.5
2001-06,1,45,4186,1486,2866,93.0,33.0,63.7
2001-07,1,6,101,65,614,16.8,10.8,102.3
2001-08,1,214,6719,7023,14746,31.4,32.8,68.9
2001-09,1,107,4607,1957,5644,43.1,18.3,52.7
2001-10,1,130,3738,4477,8435,28.8,34.4,64.9
2001-11,1,125,2605,982,7150,20.8,7.9,57.2
2001-12,1,52,1803,1157,2691,34.7,22.2,51.8
2002-01,1,144,4952,1986,11741,34.4,13.8,81.5
2002-02,1,101,1689,694,5439,16.7,6.9,53.9
2002-03,1,100,6124,4879,6070,61.2,48.8,60.7
2002-04,1,97,2835,707,6442,29.2,7.3,66.4
2002-05,1,62,1939,600,5203,31.3,9.7,83.9
2002-06,1,67,2136,1141,3886,31.9,17.0,58.0
2002-07,1,15,88,67,788,5.9,4.5,52.5
2002-08,1,77,1737,514,4433,22.6,6.7,57.6
2002-09,1,64,6868,1432,3375,107.3,22.4,52.7
2002-10,1,71,1784,684,4898,25.1,9.6,69.0
2002-11,1,52,908,715,3862,17.5,13.8,74.3
2002-12,1,87,2598,1356,5961,29.9,15.6,68.5
2003-01,1,109,1822,1978,6827,16.7,18.1,62.6
2003-02,1,52,756,2346,3819,14.5,45.1,73.4
2003-03,1,96,1970,1229,8431,20.5,12.8,87.8
2003-04,1,88,4062,1261,6147,46.2,14.3,69.9
2003-05,1,90,2308,9500,6079,25.6,105.6,67.5
2003-06,1,92,3783,1127,5758,41.1,12.2,62.6
2003-07,1,76,2705,2069,6916,35.6,27.2,91.0
2003-08,1,170,4908,1635,10418,28.9,9.6,61.3
2003-09,1,69,1834,704,4978,26.6,10.2,72.1
2003-10,1,185,15171,1388,12622,82.0,7.5,68.2
2003-11,1,100,1950,1390,6211,19.5,13.9,62.1
2003-12,1,91,1737,959,4337,19.1,10.5,47.7
2004-01,1,184,3224,1244,10443,17.5,6.8,56.8
2004-02,1,278,3509,2401,22894,12.6,8.6,82.4
