month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-05,1,14,1948,63,360,139.1,4.5,25.7
2014-06,1,8,142,94,284,17.8,11.8,35.5
2014-07,1,9,47,28,359,5.2,3.1,39.9
2014-08,1,2,21,21,57,10.5,10.5,28.5
2014-09,1,6,486,625,330,81.0,104.2,55.0
2014-10,1,1,151,0,27,151.0,0.0,27.0
2014-11,1,2,91,5,21,45.5,2.5,10.5
2014-12,1,1,1,1,34,1.0,1.0,34.0
2015-01,1,9,165,83,338,18.3,9.2,37.6
2015-03,1,3,22,10,136,7.3,3.3,45.3
2015-04,1,5,29,12,104,5.8,2.4,20.8
2015-05,1,2,196,133,39,98.0,66.5,19.5
2015-06,1,7,54,19,173,7.7,2.7,24.7
2015-07,1,5,24,11,211,4.8,2.2,42.2
2015-08,1,3,19,3,117,6.3,1.0,39.0
2015-09,1,5,566,1037,172,113.2,207.4,34.4
2015-10,1,7,37,46,336,5.3,6.6,48.0
2015-11,1,6,43,17,198,7.2,2.8,33.0
2015-12,1,3,62,16,260,20.7,5.3,86.7
2016-01,1,5,72,46,263,14.4,9.2,52.6
2016-03,1,2,20,5,16,10.0,2.5,8.0
2016-04,1,5,787,526,196,157.4,105.2,39.2
2016-05,1,2,323,6,52,161.5,3.0,26.0
2016-07,1,3,242,199,72,80.7,66.3,24.0
2016-08,1,1,17,19,26,17.0,19.0,26.0
2016-09,1,5,160,39,122,32.0,7.8,24.4
2016-10,1,3,39,32,47,13.0,10.7,15.7
2016-11,1,3,5,2,125,1.7,0.7,41.7
2016-12,1,2,76,5,28,38.0,2.5,14.0
2017-01,1,4,38,21,77,9.5,5.2,19.2
2017-02,1,3,50,49,90,16.7,16.3,30.0
2017-03,1,1,1,0,31,1.0,0.0,31.0
2017-04,1,3,19,3,65,6.3,1.0,21.7
2017-05,1,1,148,11,33,148.0,11.0,33.0
2017-07,1,3,94,81,35,31.3,27.0,11.7
2017-08,1,3,75,6,67,25.0,2.0,22.3
2017-09,1,2,2,2,39,1.0,1.0,19.5
2017-11,1,1,1,1,21,1.0,1.0,21.0
2017-12,1,1,1,0,43,1.0,0.0,43.0
2018-01,1,6,322,228,336,53.7,38.0,56.0
2018-02,1,4,4192,4124,100,1048.0,1031.0,25.0
2018-03,1,11,149,16,207,13.5,1.5,18.8
2018-04,1,1,2,0,28,2.0,0.0,28.0
2018-05,1,4,20,21,113,5.0,5.2,28.2
2018-06,1,4,465,427,106,116.2,106.8,26.5
2018-07,1,1,9,1,6,9.0,1.0,6.0
2018-10,1,1,62,0,54,62.0,0.0,54.0
2018-11,1,3,76,2,65,25.3,0.7,21.7
2019-05,1,2,26,10,36,13.0,5.0,18.0
2019-10,1,1,2,2,44,2.0,2.0,44.0
2019-11,1,2,125,56,59,62.5,28.0,29.5
2020-03,1,2,33,2,33,16.5,1.0,16.5
2021-02,1,1,1,1,5,1.0,1.0,5.0
