month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-02,1,8,666,27,59,83.2,3.4,7.4
2014-07,1,1,307,447,43,307.0,447.0,43.0
2014-08,1,4,24,15,123,6.0,3.8,30.8
2014-09,1,5,299,182,106,59.8,36.4,21.2
2014-10,1,1,56,13,23,56.0,13.0,23.0
2014-11,1,2,20,0,72,10.0,0.0,36.0
2015-10,1,5,173,128,54,34.6,25.6,10.8
2015-11,1,13,690,411,267,53.1,31.6,20.5
2015-12,1,12,466,171,340,38.8,14.2,28.3
2016-02,1,5,356,262,78,71.2,52.4,15.6
2018-03,1,6,519,605,106,86.5,100.8,17.7
2018-04,1,1,2,2,54,2.0,2.0,54.0
2018-05,1,3,19,4,60,6.3,1.3,20.0
2019-02,1,1,1,3,77,1.0,3.0,77.0
2019-09,1,6,2175,624,135,362.5,104.0,22.5
2019-11,1,6,129,70,146,21.5,11.7,24.3
2020-07,1,2,3,3,41,1.5,1.5,20.5
2021-04,1,1,15,1,44,15.0,1.0,44.0
2021-05,1,9,642,630,344,71.3,70.0,38.2
2021-07,1,2,8,2,37,4.0,1.0,18.5
2022-10,1,1,349,275,98,349.0,275.0,98.0
