month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2021-05,1,10,14941,79,497,1494.1,7.9,49.7,3
2021-06,1,25,17148,10313,1367,685.9,412.5,54.7,5
2021-07,1,27,1563,3136,1453,57.9,116.1,53.8,2
2021-08,1,14,1664,2367,698,118.9,169.1,49.9,3
2021-09,1,24,2526,1700,1283,105.2,70.8,53.5,4
2021-10,1,32,3907,2988,1682,122.1,93.4,52.6,5
2021-11,1,38,127778,147876,1966,3362.6,3891.5,51.7,6
2021-12,1,20,1282,1288,1047,64.1,64.4,52.4,1
2022-01,1,25,41609,41560,1244,1664.4,1662.4,49.8,5
2022-02,1,30,47008,46779,1575,1566.9,1559.3,52.5,6
2022-03,1,20,281,179,1075,14.1,8.9,53.8,4
2022-04,1,19,597,108,1075,31.4,5.7,56.6,4
2022-05,1,19,212,136,983,11.2,7.2,51.7,3
2022-06,1,15,36,36,777,2.4,2.4,51.8,3
2022-07,1,10,13,13,508,1.3,1.3,50.8,1
2022-08,1,11,19,19,556,1.7,1.7,50.5,1
2022-09,1,9,18,18,449,2.0,2.0,49.9,1
2022-10,1,11,307,307,557,27.9,27.9,50.6,3
2022-11,1,8,157,7,437,19.6,0.9,54.6,4
2022-12,1,7,60,36,322,8.6,5.1,46.0,2
2023-01,1,5,65,10,252,13.0,2.0,50.4,3
2023-02,1,6,37,22,370,6.2,3.7,61.7,3
2023-03,1,13,654,86,668,50.3,6.6,51.4,5
2023-04,1,15,660,79,809,44.0,5.3,53.9,4
2023-05,1,6,53,53,292,8.8,8.8,48.7,2
2023-06,1,8,714,41,370,89.2,5.1,46.2,3
2023-07,1,17,504,268,890,29.6,15.8,52.4,3
2023-08,1,22,203,59,1068,9.2,2.7,48.5,7
2023-09,1,13,15,25,564,1.2,1.9,43.4,3
2023-10,1,21,334,328,914,15.9,15.6,43.5,7
2023-11,1,9,80,48,468,8.9,5.3,52.0,2
2023-12,1,2,15,2,126,7.5,1.0,63.0,2
2024-01,1,5,52,20,312,10.4,4.0,62.4,3
2024-02,1,11,704,618,626,64.0,56.2,56.9,3
2024-03,1,13,617,75,794,47.5,5.8,61.1,7
2024-04,1,78,20873,8481,3804,267.6,108.7,48.8,7
2024-05,1,48,12050,10976,2355,251.0,228.7,49.1,3
2024-06,1,45,4112,3678,2238,91.4,81.7,49.7,3
2024-07,1,42,4454,5920,2185,106.0,141.0,52.0,3
2024-08,1,27,1660,1321,1398,61.5,48.9,51.8,3
2024-09,1,54,5153,3332,2844,95.4,61.7,52.7,2
2024-10,1,47,4738,4611,2452,100.8,98.1,52.2,4
2024-11,1,23,1929,1884,1312,83.9,81.9,57.0,3
2024-12,1,17,1154,526,1017,67.9,30.9,59.8,4
2025-01,1,17,2386,1644,998,140.4,96.7,58.7,3
2025-02,1,24,3793,4454,1358,158.0,185.6,56.6,3
2025-03,1,29,2570,2467,1592,88.6,85.1,54.9,5
2025-04,1,14,1317,1247,877,94.1,89.1,62.6,2
2025-05,1,15,1718,1804,913,114.5,120.3,60.9,2
2025-06,1,32,1979,1408,1753,61.8,44.0,54.8,6
2025-07,1,12,1440,1322,654,120.0,110.2,54.5,1
2025-08,1,29,1921,1677,1628,66.2,57.8,56.1,3
2025-09,1,16,1357,1376,862,84.8,86.0,53.9,1
2025-10,1,22,1368,978,1070,62.2,44.5,48.6,4
2025-11,1,16,826,822,832,51.6,51.4,52.0,3
2025-12,1,3,159,101,177,53.0,33.7,59.0,2
2026-01,1,7,1677,113,456,239.6,16.1,65.1,2
2026-02,1,16,1719,738,822,107.4,46.1,51.4,3
2026-03,1,15,1846,2448,802,123.1,163.2,53.5,1
2026-04,1,4,210,123,224,52.5,30.8,56.0,1
2026-05,1,4,1406,2604,186,351.5,651.0,46.5,2
2026-08,1,1,1,1,43,1.0,1.0,43.0,1
