month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2020-06,1,19,20402,4492,424,1073.8,236.4,22.3,1
2020-07,1,44,5111,15498,1469,116.2,352.2,33.4,3
2020-08,1,3,10,4,110,3.3,1.3,36.7,1
2020-09,1,9,33,10,697,3.7,1.1,77.4,2
2020-10,1,8,67,18,240,8.4,2.2,30.0,1
2020-11,1,7,115,32,264,16.4,4.6,37.7,4
2021-02,1,1,10,0,19,10.0,0.0,19.0,1
2021-07,1,3,1914,1655,449,638.0,551.7,149.7,2
2022-04,1,1,14,6,160,14.0,6.0,160.0,1
2022-05,1,1,3,3,459,3.0,3.0,459.0,1
2022-06,1,1,27,8,760,27.0,8.0,760.0,1
2022-07,1,11,228,74,2276,20.7,6.7,206.9,2
2022-08,1,1,2,0,45,2.0,0.0,45.0,1
2022-11,1,3,25,7,147,8.3,2.3,49.0,1
2022-12,1,1,3,3,623,3.0,3.0,623.0,1
2023-01,1,1,3,5,575,3.0,5.0,575.0,1
2023-02,1,4,94,25,1152,23.5,6.2,288.0,3
2023-03,1,1,1,1,6,1.0,1.0,6.0,1
2023-04,1,7,150,28,2304,21.4,4.0,329.1,2
2023-05,1,2,3,2,515,1.5,1.0,257.5,2
2023-11,1,2,2380,3174,303,1190.0,1587.0,151.5,2
2023-12,1,2,760,760,216,380.0,380.0,108.0,1
2024-01,1,1,49,16,80,49.0,16.0,80.0,1
2024-07,1,2,35,23,366,17.5,11.5,183.0,2
2024-11,1,1,2,2,30,2.0,2.0,30.0,1
2024-12,1,2,16,16,1209,8.0,8.0,604.5,1
2025-01,1,13,1328,322,4133,102.2,24.8,317.9,2
2025-02,1,39,124906,958,4800,3202.7,24.6,123.1,3
2025-03,1,17,370,246,868,21.8,14.5,51.1,3
2025-05,1,1,105,37,43,105.0,37.0,43.0,1
2025-06,1,12,97,23,765,8.1,1.9,63.8,3
2025-09,1,4,13,6,360,3.2,1.5,90.0,3
2025-11,1,5,245,95,569,49.0,19.0,113.8,3
2026-01,1,14,1664,643,2299,118.9,45.9,164.2,5
2026-03,1,8,70,30,2517,8.8,3.8,314.6,6
2026-04,1,3,1250,23,1160,416.7,7.7,386.7,2
2026-05,1,4,75,59,267,18.8,14.8,66.8,4
2026-06,1,5,231,135,1664,46.2,27.0,332.8,4
2026-07,1,2,8,8,1114,4.0,4.0,557.0,1
2026-08,1,6,74693,98970,1435,12448.8,16495.0,239.2,3
2026-09,1,1,29,62,645,29.0,62.0,645.0,1
