month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2008-07,1,4,11404,12,2903,2851.0,3.0,725.8,3
2008-08,1,6,154,184,1236,25.7,30.7,206.0,4
2008-10,1,1,54,58,1482,54.0,58.0,1482.0,1
2008-11,1,1,8,0,1698,8.0,0.0,1698.0,1
2008-12,1,8,5878,278,7699,734.8,34.8,962.4,5
2009-01,1,7,91,37,6000,13.0,5.3,857.1,5
2009-02,1,1,64,0,216,64.0,0.0,216.0,1
2009-03,1,8,340,773,3383,42.5,96.6,422.9,2
2009-04,1,2,1,129,600,0.5,64.5,300.0,1
2009-06,1,1,2,0,273,2.0,0.0,273.0,1
2009-08,1,1,121,68,427,121.0,68.0,427.0,1
2009-09,1,1,0,3,1470,0.0,3.0,1470.0,1
2009-10,1,2,7,1,565,3.5,0.5,282.5,2
2009-12,1,3,17,10,1474,5.7,3.3,491.3,2
2010-02,1,1,0,23,242,0.0,23.0,242.0,1
2010-03,1,1,3,3,455,3.0,3.0,455.0,1
2010-04,1,1,25,1,269,25.0,1.0,269.0,1
2010-05,1,1,4,2,214,4.0,2.0,214.0,1
2011-05,1,2,4,4,936,2.0,2.0,468.0,2
2011-06,1,1,0,1,250,0.0,1.0,250.0,1
2011-07,1,1,0,6,591,0.0,6.0,591.0,1
2011-10,1,1,6,1,959,6.0,1.0,959.0,1
2011-12,1,4,4919,2175,1205,1229.8,543.8,301.2,3
2012-01,1,2,242,24,701,121.0,12.0,350.5,2
2012-04,1,1,29,43,398,29.0,43.0,398.0,1
2012-07,1,1,3,3,357,3.0,3.0,357.0,1
2012-08,1,5,1479,770,2052,295.8,154.0,410.4,2
2012-09,1,1,33,23,717,33.0,23.0,717.0,1
2012-10,1,1,40,14,381,40.0,14.0,381.0,1
2012-12,1,1,12,31,229,12.0,31.0,229.0,1
2013-04,1,5,2030,1185,3101,406.0,237.0,620.2,2
2013-05,1,6,3687,1851,3361,614.5,308.5,560.2,4
2013-06,1,5,16,16,2037,3.2,3.2,407.4,3
2013-07,1,2,8,8,529,4.0,4.0,264.5,1
2013-08,1,2,35,27,582,17.5,13.5,291.0,2
2013-09,1,2,3,3,7445,1.5,1.5,3722.5,2
2013-12,1,6,195,22,2435,32.5,3.7,405.8,3
2014-01,1,2,278,12,606,139.0,6.0,303.0,2
2014-02,1,1,38,69,253,38.0,69.0,253.0,1
2014-03,1,2,14,21,594,7.0,10.5,297.0,2
2014-04,1,3,204,102,1477,68.0,34.0,492.3,1
2014-05,1,2,116,69,984,58.0,34.5,492.0,1
2014-06,1,1,107,1,298,107.0,1.0,298.0,1
2014-07,1,1,2,4,901,2.0,4.0,901.0,1
2014-08,1,2,19,26,1069,9.5,13.0,534.5,2
2014-09,1,4,14,14,1945,3.5,3.5,486.2,2
2014-10,1,5,2067,2068,7015,413.4,413.6,1403.0,3
2014-11,1,7,1111,59,5107,158.7,8.4,729.6,5
2014-12,1,2,22,9,712,11.0,4.5,356.0,2
2015-02,1,1,2,2,756,2.0,2.0,756.0,1
2015-03,1,3,737,520,2782,245.7,173.3,927.3,2
2015-04,1,1,4,0,464,4.0,0.0,464.0,1
2015-06,1,5,18,13,1976,3.6,2.6,395.2,3
2015-07,1,5,19,5,5074,3.8,1.0,1014.8,3
2015-08,1,2,21,15,805,10.5,7.5,402.5,2
2015-09,1,2,42,36,1631,21.0,18.0,815.5,2
2015-10,1,2,14,13,1218,7.0,6.5,609.0,1
2015-11,1,1,1,2,518,1.0,2.0,518.0,1
2015-12,1,2,47,32,694,23.5,16.0,347.0,2
2016-01,1,1,306,0,641,306.0,0.0,641.0,1
2016-02,1,1,10,31,572,10.0,31.0,572.0,1
2016-04,1,2,4,4,737,2.0,2.0,368.5,2
2016-05,1,1,1,1,446,1.0,1.0,446.0,1
2016-06,1,5,7312,5266,8775,1462.4,1053.2,1755.0,4
2016-07,1,1,37,4,314,37.0,4.0,314.0,1
2016-09,1,4,38,208,1866,9.5,52.0,466.5,4
2016-11,1,2,11,9,1008,5.5,4.5,504.0,2
2017-02,1,4,2243,2387,3913,560.8,596.8,978.2,4
2017-03,1,2,28,22,1185,14.0,11.0,592.5,2
2017-04,1,3,4,2,1530,1.3,0.7,510.0,3
2017-05,1,3,65,41,2488,21.7,13.7,829.3,2
2017-06,1,1,2,0,453,2.0,0.0,453.0,1
2017-08,1,7,9003,4475,7007,1286.1,639.3,1001.0,6
2017-09,1,10,5842,4481,13587,584.2,448.1,1358.7,5
2017-10,1,8,2059,1436,7385,257.4,179.5,923.1,4
2017-11,1,10,460,279,9797,46.0,27.9,979.7,3
2017-12,1,5,421,278,4592,84.2,55.6,918.4,2
2018-01,1,6,619,56,5090,103.2,9.3,848.3,2
2018-02,1,17,696,3434,14586,40.9,202.0,858.0,5
2018-03,1,2,12,7,1453,6.0,3.5,726.5,2
2018-04,1,1,1,1,537,1.0,1.0,537.0,1
2018-05,1,3,3,4,2966,1.0,1.3,988.7,3
2018-07,1,1,1,1,1072,1.0,1.0,1072.0,1
2018-08,1,7,302,96,5513,43.1,13.7,787.6,5
2018-09,1,2,6,5,2686,3.0,2.5,1343.0,2
2018-10,1,2,55,69,1595,27.5,34.5,797.5,1
2018-11,1,3,60,15,1770,20.0,5.0,590.0,2
2018-12,1,3,6,4,2134,2.0,1.3,711.3,3
2019-01,1,4,43,9,3248,10.8,2.2,812.0,3
2019-02,1,3,123,110,4154,41.0,36.7,1384.7,2
2019-03,1,3,5,2,2426,1.7,0.7,808.7,3
2019-04,1,4,95,244,3068,23.8,61.0,767.0,3
2019-05,1,1,31,0,1335,31.0,0.0,1335.0,1
2019-06,1,3,26,4,3013,8.7,1.3,1004.3,3
2019-07,1,2,14,3,1762,7.0,1.5,881.0,2
2019-08,1,10,243,167,13916,24.3,16.7,1391.6,5
2019-09,1,2,14,3,1600,7.0,1.5,800.0,2
2019-10,1,3,71,55,2422,23.7,18.3,807.3,3
2019-11,1,6,162,88,7164,27.0,14.7,1194.0,3
2019-12,1,4,469,479,5133,117.2,119.8,1283.2,3
2020-01,1,10,193,281,8669,19.3,28.1,866.9,5
2020-02,1,1,7,1,771,7.0,1.0,771.0,1
2020-03,1,1,25,5,609,25.0,5.0,609.0,1
2020-04,1,21,2364,1101,19471,112.6,52.4,927.2,8
2020-05,1,5,68,47,4761,13.6,9.4,952.2,2
2020-06,1,11,51,40,10927,4.6,3.6,993.4,6
2020-07,1,4,93,5,3557,23.2,1.2,889.2,3
2020-08,1,4,102,6,2027,25.5,1.5,506.8,1
2020-09,1,6,442,32,4710,73.7,5.3,785.0,2
2020-10,1,1,50,23,1197,50.0,23.0,1197.0,1
2020-11,1,3,152,4,2259,50.7,1.3,753.0,2
2020-12,1,2,14,14,1148,7.0,7.0,574.0,2
2021-01,1,1,2,2,655,2.0,2.0,655.0,1
2021-02,1,2,9,9,1768,4.5,4.5,884.0,2
2021-03,1,1,1,1,778,1.0,1.0,778.0,1
2021-04,1,1,3,2,528,3.0,2.0,528.0,1
2021-05,1,20,1219,754,15556,61.0,37.7,777.8,4
2021-06,1,1,1,3,803,1.0,3.0,803.0,1
2021-07,1,5,60,42,2733,12.0,8.4,546.6,3
2021-08,1,5,312,103,3170,62.4,20.6,634.0,2
2021-09,1,1,17,10,899,17.0,10.0,899.0,1
2021-10,1,4,22,4,2257,5.5,1.0,564.2,3
2021-11,1,3,31,12,1840,10.3,4.0,613.3,3
2021-12,1,1,4,5,585,4.0,5.0,585.0,1
2022-01,1,1,125,4,704,125.0,4.0,704.0,1
2022-02,1,30,1391,944,19571,46.4,31.5,652.4,4
2022-03,1,20,1532,420,16498,76.6,21.0,824.9,6
2022-04,1,22,11305,1502,18154,513.9,68.3,825.2,5
2022-05,1,14,502,325,10382,35.9,23.2,741.6,7
2022-07,1,1,13,3,825,13.0,3.0,825.0,1
2022-08,1,2,118,36,2032,59.0,18.0,1016.0,1
2022-09,1,10,432,91,7299,43.2,9.1,729.9,6
2022-10,1,3,25,10,2430,8.3,3.3,810.0,2
2022-11,1,3,234,202,2410,78.0,67.3,803.3,2
2022-12,1,1,2,3,895,2.0,3.0,895.0,1
2023-01,1,5,1161,20,5434,232.2,4.0,1086.8,4
2023-02,1,2,67,32,1697,33.5,16.0,848.5,2
2023-03,1,3,19,4,1763,6.3,1.3,587.7,2
2023-04,1,4,651,13,2844,162.8,3.2,711.0,3
2023-05,1,4,1532,1579,3376,383.0,394.8,844.0,3
2023-06,1,9,14,13,8084,1.6,1.4,898.2,5
