month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-11,1,5,295,27,115,59.0,5.4,23.0
2015-01,1,1,3,208,201,3.0,208.0,201.0
2015-03,1,4,32,2,141,8.0,0.5,35.2
2015-04,1,1,1,1,15,1.0,1.0,15.0
2015-05,1,1,1,1,25,1.0,1.0,25.0
2015-06,1,3,3,3,45,1.0,1.0,15.0
2015-07,1,8,241,97,505,30.1,12.1,63.1
2015-08,1,2,21,1,207,10.5,0.5,103.5
2015-09,1,3,4,3,61,1.3,1.0,20.3
2015-12,1,4,369,39,281,92.2,9.8,70.2
2016-01,1,13,350,21,366,26.9,1.6,28.2
2016-02,1,7,15,10,199,2.1,1.4,28.4
2016-03,1,14,518,229,337,37.0,16.4,24.1
2016-04,1,12,126,47,449,10.5,3.9,37.4
2016-05,1,11,271,122,322,24.6,11.1,29.3
2016-06,1,12,290,170,833,24.2,14.2,69.4
2016-07,1,2,94,62,21,47.0,31.0,10.5
2016-08,1,3,23,14,194,7.7,4.7,64.7
2016-09,1,1,6,6,3,6.0,6.0,3.0
2016-10,1,2,8,8,27,4.0,4.0,13.5
2016-11,1,2,65,17,55,32.5,8.5,27.5
2016-12,1,1,61,13,4,61.0,13.0,4.0
2017-01,1,2,10,10,64,5.0,5.0,32.0
2017-02,1,1,9,11,4,9.0,11.0,4.0
2017-03,1,2,14,16,12,7.0,8.0,6.0
2017-04,1,1,9,9,4,9.0,9.0,4.0
2017-05,1,2,6,6,10,3.0,3.0,5.0
2017-06,1,1,5,5,4,5.0,5.0,4.0
2017-07,1,1,5,5,4,5.0,5.0,4.0
2017-08,1,1,5,5,4,5.0,5.0,4.0
2017-09,1,1,5,5,4,5.0,5.0,4.0
2017-10,1,1,6,6,4,6.0,6.0,4.0
2017-11,1,1,6,6,4,6.0,6.0,4.0
2018-06,1,3,27,22,38,9.0,7.3,12.7
2018-08,1,1,12,0,31,12.0,0.0,31.0
2018-10,1,1,4,0,52,4.0,0.0,52.0
2018-11,1,1,10,10,87,10.0,10.0,87.0
2019-02,1,1,30,11,39,30.0,11.0,39.0
2019-04,1,4,115,43,63,28.8,10.8,15.8
2019-06,1,6,13,6,531,2.2,1.0,88.5
2019-07,1,7,40,543,789,5.7,77.6,112.7
2019-08,1,2,2,1,109,1.0,0.5,54.5
2019-09,1,3,129,127,796,43.0,42.3,265.3
2019-10,1,1,1,576,120,1.0,576.0,120.0
2019-11,1,1,104,31,157,104.0,31.0,157.0
2020-01,1,1,4,0,286,4.0,0.0,286.0
