month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-05,1,33,1904,418,1288,57.7,12.7,39.0
2014-06,1,12,418,61,410,34.8,5.1,34.2
2014-07,1,7,35,4,254,5.0,0.6,36.3
2014-08,1,2,90,33,74,45.0,16.5,37.0
2014-09,1,4,69,22,142,17.2,5.5,35.5
2015-01,1,4,21,23,117,5.2,5.8,29.2
2015-07,1,2,17,7,85,8.5,3.5,42.5
2015-08,1,3,25,14,141,8.3,4.7,47.0
2015-11,1,3,51,44,517,17.0,14.7,172.3
2016-01,1,2,2,1,38,1.0,0.5,19.0
2016-03,1,4,11,1,393,2.8,0.2,98.2
2016-04,1,1,5,2,26,5.0,2.0,26.0
2016-05,1,7,75,32,375,10.7,4.6,53.6
2016-07,1,4,31,19,160,7.8,4.8,40.0
2016-08,1,13,40,21,653,3.1,1.6,50.2
2017-02,1,6,11,7,430,1.8,1.2,71.7
2017-06,1,4,32,15,215,8.0,3.8,53.8
2019-06,1,3,21,22,121,7.0,7.3,40.3
2019-11,1,2,19,2,80,9.5,1.0,40.0
2020-02,1,4,7,6,195,1.8,1.5,48.8
2020-05,1,1,39,7,41,39.0,7.0,41.0
2020-06,1,5,67,5,929,13.4,1.0,185.8
2020-10,1,3,23,23,180,7.7,7.7,60.0
