month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-08,1,2,231,0,78,115.5,0.0,39.0
2012-11,1,1,623,154,147,623.0,154.0,147.0
2012-12,1,7,276,14,616,39.4,2.0,88.0
2013-01,1,11,231,104,832,21.0,9.5,75.6
2013-02,1,16,155,86,684,9.7,5.4,42.8
2013-03,1,4,13,13,436,3.2,3.2,109.0
2013-04,1,5,18,4,372,3.6,0.8,74.4
2013-05,1,7,20,5,572,2.9,0.7,81.7
2013-06,1,5,121,93,317,24.2,18.6,63.4
2013-09,1,20,140,86,1229,7.0,4.3,61.5
2013-10,1,58,1502,412,2780,25.9,7.1,47.9
2013-11,1,12,232,55,670,19.3,4.6,55.8
2013-12,1,177,6905,2288,14450,39.0,12.9,81.6
2014-01,1,23,674,504,711,29.3,21.9,30.9
2014-02,1,5,481,32,354,96.2,6.4,70.8
2014-03,1,39,2117,1180,2957,54.3,30.3,75.8
2014-04,1,5,300,292,215,60.0,58.4,43.0
2014-05,1,2,5,2,70,2.5,1.0,35.0
2014-08,1,1,6,6,37,6.0,6.0,37.0
2014-10,1,18,269,265,1055,14.9,14.7,58.6
2014-11,1,129,2865,902,8678,22.2,7.0,67.3
2014-12,1,25,966,639,1480,38.6,25.6,59.2
2015-02,1,20,8394,7956,2630,419.7,397.8,131.5
2015-03,1,7,225,81,745,32.1,11.6,106.4
2015-07,1,4,1472,122,128,368.0,30.5,32.0
2015-08,1,38,1034,1251,5008,27.2,32.9,131.8
2015-09,1,15,131,209,731,8.7,13.9,48.7
2015-10,1,3,54,30,108,18.0,10.0,36.0
2015-11,1,22,834,264,1921,37.9,12.0,87.3
2015-12,1,9,260,192,765,28.9,21.3,85.0
2016-01,1,42,1336,521,4299,31.8,12.4,102.4
2016-02,1,4,1,0,746,0.2,0.0,186.5
2016-03,1,28,1410,343,4143,50.4,12.2,148.0
2016-04,1,9,613,74,1778,68.1,8.2,197.6
2016-07,1,23,839,191,985,36.5,8.3,42.8
2016-08,1,38,1476,701,3266,38.8,18.4,85.9
2016-09,1,41,1280,791,2147,31.2,19.3,52.4
2016-10,1,5,129,14,1027,25.8,2.8,205.4
2016-11,1,1,0,0,100,0.0,0.0,100.0
2016-12,1,3,34,4,130,11.3,1.3,43.3
2017-02,1,2,2941,496,1672,1470.5,248.0,836.0
2017-03,1,2,4,4,104,2.0,2.0,52.0
2017-04,1,1,252,9,1650,252.0,9.0,1650.0
2017-05,1,4,33,4,214,8.2,1.0,53.5
2017-09,1,5,717,1418,116,143.4,283.6,23.2
2017-11,1,14,47,32,552,3.4,2.3,39.4
2018-02,1,2,23,7,203,11.5,3.5,101.5
2018-03,1,54,576,184,4434,10.7,3.4,82.1
2018-04,1,14,1968,184,1801,140.6,13.1,128.6
2018-05,1,7,923,201,946,131.9,28.7,135.1
2018-06,1,4,7,13,166,1.8,3.2,41.5
2018-07,1,2,62,9,620,31.0,4.5,310.0
2018-08,1,2,1,813,105,0.5,406.5,52.5
2018-10,1,3,15,14,93,5.0,4.7,31.0
