month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-09,1,36,1981,197,1278,55.0,5.5,35.5
2014-10,1,9,64,94,502,7.1,10.4,55.8
2014-11,1,8,69,74,323,8.6,9.2,40.4
2015-02,1,1,578,126,56,578.0,126.0,56.0
2015-03,1,1,10,0,118,10.0,0.0,118.0
2015-05,1,2,1,1,75,0.5,0.5,37.5
2015-06,1,9,264,133,697,29.3,14.8,77.4
2015-07,1,10,54,21,435,5.4,2.1,43.5
2015-08,1,9,421,269,582,46.8,29.9,64.7
2015-09,1,8,47,29,384,5.9,3.6,48.0
2015-12,1,16,520,229,651,32.5,14.3,40.7
2016-01,1,3,29,17,260,9.7,5.7,86.7
2016-04,1,2,14,14,91,7.0,7.0,45.5
2016-05,1,1,2,2,23,2.0,2.0,23.0
2016-07,1,2,6,7,164,3.0,3.5,82.0
2016-08,1,1,2,119,16,2.0,119.0,16.0
2017-03,1,1,0,2691,41,0.0,2691.0,41.0
2017-06,1,1,1,1,16,1.0,1.0,16.0
