month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2018-03,1,59,4249,850,2322,72.0,14.4,39.4
2018-04,1,34,479,163,1374,14.1,4.8,40.4
2018-05,1,20,1044,577,1430,52.2,28.9,71.5
2018-06,1,11,2254,1262,1455,204.9,114.7,132.3
2018-07,1,2,34,31,40,17.0,15.5,20.0
2018-08,1,1,7,4,28,7.0,4.0,28.0
2018-09,1,19,1175,1983,1092,61.8,104.4,57.5
2019-01,1,9,96,65,254,10.7,7.2,28.2
2019-02,1,6,41,63,128,6.8,10.5,21.3
2019-11,1,9,86,62,305,9.6,6.9,33.9
2019-12,1,7,41,44,290,5.9,6.3,41.4
2020-02,1,12,128,137,486,10.7,11.4,40.5
2020-04,1,5,39,40,371,7.8,8.0,74.2
2020-06,1,1,4,0,16,4.0,0.0,16.0
