month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-02,1,3,351,0,45,117.0,0.0,15.0
2016-05,1,7,208,62,207,29.7,8.9,29.6
2016-06,1,5,23,11,139,4.6,2.2,27.8
2016-07,1,1,1,1,3,1.0,1.0,3.0
2016-08,1,4,4,2,152,1.0,0.5,38.0
2016-09,1,1,1,1,3,1.0,1.0,3.0
2016-10,1,8,91,67,300,11.4,8.4,37.5
2016-11,1,4,49,8,253,12.2,2.0,63.2
2016-12,1,1,1,1,4,1.0,1.0,4.0
2017-01,1,1,1,1,59,1.0,1.0,59.0
2017-02,1,1,1,1,59,1.0,1.0,59.0
2017-03,1,1,1,1,4,1.0,1.0,4.0
2017-04,1,1,1,1,4,1.0,1.0,4.0
2017-05,1,1,1,1,8,1.0,1.0,8.0
2017-06,1,2,5,7,113,2.5,3.5,56.5
2017-08,1,2,9,1,43,4.5,0.5,21.5
2017-09,1,1,1,1,4,1.0,1.0,4.0
2017-10,1,1,1,1,4,1.0,1.0,4.0
2017-11,1,1,1,1,34,1.0,1.0,34.0
2018-06,1,1,1,1,22,1.0,1.0,22.0
2018-07,1,2,49,42,115,24.5,21.0,57.5
2018-10,1,1,21,15,169,21.0,15.0,169.0
2018-11,1,1,1,1,134,1.0,1.0,134.0
2019-04,1,6,99,48,534,16.5,8.0,89.0
2019-05,1,4,35,29,203,8.8,7.2,50.8
2019-06,1,8,210,8,2021,26.2,1.0,252.6
2019-07,1,12,211,57,1294,17.6,4.8,107.8
2019-08,1,1,6,1,464,6.0,1.0,464.0
2019-10,1,4,6,16,374,1.5,4.0,93.5
2019-11,1,6,615,667,533,102.5,111.2,88.8
2019-12,1,13,99,63,1807,7.6,4.8,139.0
2020-01,1,21,86,81,2872,4.1,3.9,136.8
2020-02,1,9,43,20,1115,4.8,2.2,123.9
2020-03,1,7,13,21,752,1.9,3.0,107.4
2020-04,1,10,165,23,1248,16.5,2.3,124.8
2020-05,1,22,213,113,5139,9.7,5.1,233.6
2020-06,1,16,112,36,3468,7.0,2.2,216.8
2020-07,1,26,317,155,4795,12.2,6.0,184.4
2020-08,1,20,370,184,2964,18.5,9.2,148.2
2020-09,1,22,100,86,3602,4.5,3.9,163.7
2020-10,1,11,45,37,1852,4.1,3.4,168.4
2020-11,1,9,65,32,1397,7.2,3.6,155.2
2020-12,1,19,156,97,3657,8.2,5.1,192.5
2021-01,1,35,397,285,4951,11.3,8.1,141.5
2021-02,1,14,176,118,2307,12.6,8.4,164.8
2021-03,1,23,755,570,1965,32.8,24.8,85.4
2021-04,1,17,82,53,1677,4.8,3.1,98.6
2021-05,1,15,205,26,2360,13.7,1.7,157.3
2021-06,1,19,248,252,2115,13.1,13.3,111.3
2021-07,1,17,223,53,1540,13.1,3.1,90.6
2021-08,1,18,141,71,2207,7.8,3.9,122.6
2021-09,1,4,14,27,300,3.5,6.8,75.0
2021-10,1,8,64,34,703,8.0,4.2,87.9
2021-11,1,13,131,100,916,10.1,7.7,70.5
2021-12,1,10,124,48,450,12.4,4.8,45.0
2022-01,1,9,58,31,518,6.4,3.4,57.6
2022-02,1,15,184,104,1063,12.3,6.9,70.9
2022-03,1,11,63,26,505,5.7,2.4,45.9
2022-04,1,7,36,47,429,5.1,6.7,61.3
2022-05,1,7,156,51,447,22.3,7.3,63.9
2022-06,1,11,47,29,967,4.3,2.6,87.9
2022-07,1,7,115,23,346,16.4,3.3,49.4
2022-08,1,5,30,19,375,6.0,3.8,75.0
2022-09,1,16,555,219,2414,34.7,13.7,150.9
2022-10,1,15,578,571,1759,38.5,38.1,117.3
2022-11,1,10,103,53,846,10.3,5.3,84.6
2022-12,1,10,50,81,1535,5.0,8.1,153.5
2023-01,1,12,1317,45,1491,109.8,3.8,124.2
2023-02,1,11,191,176,1413,17.4,16.0,128.5
2023-03,1,22,261,1408,2131,11.9,64.0,96.9
2023-04,1,12,91,29,1219,7.6,2.4,101.6
2023-05,1,15,113,45,1164,7.5,3.0,77.6
2023-06,1,19,195,88,1851,10.3,4.6,97.4
2023-07,1,18,99,98,1658,5.5,5.4,92.1
2023-08,1,11,98,32,575,8.9,2.9,52.3
2023-09,1,11,76,28,646,6.9,2.5,58.7
2023-10,1,19,179,95,3112,9.4,5.0,163.8
2023-11,1,18,283,160,915,15.7,8.9,50.8
2023-12,1,9,68,26,422,7.6,2.9,46.9
2024-01,1,13,74,44,585,5.7,3.4,45.0
2024-02,1,22,154,94,2944,7.0,4.3,133.8
2024-03,1,15,592,243,1219,39.5,16.2,81.3
2024-04,1,26,721,380,2578,27.7,14.6,99.2
