month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2015-02,1,6,286,64,132,47.7,10.7,22.0
2015-03,1,8,69,52,214,8.6,6.5,26.8
2015-04,1,1,4,2,54,4.0,2.0,54.0
2015-07,1,2,222,4,30,111.0,2.0,15.0
2015-09,1,4,20,9,137,5.0,2.2,34.2
2015-10,1,1,2,0,31,2.0,0.0,31.0
2015-12,1,1,4,3,62,4.0,3.0,62.0
2016-02,1,5,116,31,125,23.2,6.2,25.0
2016-03,1,15,106,77,626,7.1,5.1,41.7
2016-05,1,1,1,1,45,1.0,1.0,45.0
2016-06,1,3,75,33,95,25.0,11.0,31.7
2016-12,1,4,43,26,108,10.8,6.5,27.0
2017-01,1,4,55,21,155,13.8,5.2,38.8
2017-11,1,2,9,3,86,4.5,1.5,43.0
2018-02,1,1,8,0,90,8.0,0.0,90.0
2018-03,1,2,1,0,133,0.5,0.0,66.5
2019-01,1,2,1,1,98,0.5,0.5,49.0
2021-02,1,1,2,0,9,2.0,0.0,9.0
