month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2018-05,1,54,5884,812,2631,109.0,15.0,48.7,1
2018-06,1,136,33730,3434,6498,248.0,25.2,47.8,1
2018-07,1,188,53504,5898,9229,284.6,31.4,49.1,2
2018-08,1,97,5632,3071,4470,58.1,31.7,46.1,2
2018-09,1,43,3573,3275,1947,83.1,76.2,45.3,2
2018-10,1,54,2411,1574,2818,44.6,29.1,52.2,5
2018-11,1,26,686,268,1558,26.4,10.3,59.9,3
2018-12,1,20,110,28,960,5.5,1.4,48.0,2
2019-01,1,49,763,172,2315,15.6,3.5,47.2,3
2019-02,1,6,3,2,402,0.5,0.3,67.0,1
2019-03,1,25,956,197,1508,38.2,7.9,60.3,3
2019-04,1,16,1708,448,867,106.8,28.0,54.2,2
2019-05,1,64,1037,401,3254,16.2,6.3,50.8,3
2019-06,1,37,620,121,2181,16.8,3.3,58.9,4
2019-07,1,17,515,54,724,30.3,3.2,42.6,2
2019-08,1,8,569,309,343,71.1,38.6,42.9,1
2019-09,1,7,116,84,268,16.6,12.0,38.3,2
2019-10,1,9,190,55,343,21.1,6.1,38.1,2
2019-11,1,4,60,16,171,15.0,4.0,42.8,3
2019-12,1,13,510,23033,548,39.2,1771.8,42.2,3
2020-01,1,13,451,135,501,34.7,10.4,38.5,5
2020-02,1,27,478,103,1693,17.7,3.8,62.7,6
2020-03,1,14,585,38,707,41.8,2.7,50.5,3
2020-04,1,10,174,57,906,17.4,5.7,90.6,3
2020-05,1,23,313,223,2325,13.6,9.7,101.1,7
2020-06,1,23,623,186,1067,27.1,8.1,46.4,4
2020-07,1,6,53,53,682,8.8,8.8,113.7,3
2020-08,1,10,179,17,377,17.9,1.7,37.7,4
2020-09,1,38,4480,3361,1640,117.9,88.4,43.2,4
2020-10,1,41,3493,814,3454,85.2,19.9,84.2,8
2020-11,1,59,7490,2727,2185,126.9,46.2,37.0,5
2020-12,1,38,3393,1391,2115,89.3,36.6,55.7,7
2021-01,1,39,3206,1247,2655,82.2,32.0,68.1,6
2021-02,1,49,1658,611,3153,33.8,12.5,64.3,4
2021-03,1,23,1521,616,1572,66.1,26.8,68.3,4
2021-04,1,31,796,215,1131,25.7,6.9,36.5,3
2021-05,1,45,1069,39497,5016,23.8,877.7,111.5,7
2021-06,1,46,3737,1908,5994,81.2,41.5,130.3,11
2021-07,1,40,2857,589,4865,71.4,14.7,121.6,7
2021-08,1,19,3374,1376,1353,177.6,72.4,71.2,2
2021-09,1,34,1349,404,3149,39.7,11.9,92.6,6
2021-10,1,36,12032,514,2088,334.2,14.3,58.0,6
