month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2018-07,1,11,629,7,196,57.2,0.6,17.8
2019-05,1,3,867,364,2119,289.0,121.3,706.3
2019-09,1,2,2,2,103,1.0,1.0,51.5
2019-10,1,15,26,24,667,1.7,1.6,44.5
2020-02,1,6,52,8,258,8.7,1.3,43.0
2020-03,1,3,46,2,93,15.3,0.7,31.0
2020-07,1,4,30,10,119,7.5,2.5,29.8
2020-08,1,2,71,8,50,35.5,4.0,25.0
2020-09,1,2,31,1,78,15.5,0.5,39.0
2021-01,1,15,175,513,465,11.7,34.2,31.0
2021-08,1,2,60,564,50,30.0,282.0,25.0
2022-04,1,2,7,0,114,3.5,0.0,57.0
