month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2019-03,1,13,1729,340,518,133.0,26.2,39.8,1
2019-04,1,46,5511,3409,1935,119.8,74.1,42.1,1
2019-05,1,42,2091,805,2003,49.8,19.2,47.7,3
2019-06,1,47,3218,1104,2600,68.5,23.5,55.3,2
2019-07,1,30,1005,187,1375,33.5,6.2,45.8,4
2019-08,1,4,231,5,275,57.8,1.2,68.8,3
2019-09,1,19,430,161,2950,22.6,8.5,155.3,2
2019-10,1,3,18,13,344,6.0,4.3,114.7,2
2019-11,1,19,572,353,1942,30.1,18.6,102.2,5
2019-12,1,28,764,334,7866,27.3,11.9,280.9,5
2020-01,1,8,594,225,2203,74.2,28.1,275.4,2
2020-02,1,25,856,182,3089,34.2,7.3,123.6,4
2020-03,1,2,10,4,125,5.0,2.0,62.5,2
2020-04,1,12,556,242,2104,46.3,20.2,175.3,4
2020-05,1,11,160,7,1120,14.5,0.6,101.8,4
2020-06,1,29,1013,288,7799,34.9,9.9,268.9,2
2020-07,1,22,517,139,5591,23.5,6.3,254.1,3
2020-08,1,2,67,2,93,33.5,1.0,46.5,1
2020-10,1,6,56,32,1979,9.3,5.3,329.8,1
2020-11,1,21,858,417,4716,40.9,19.9,224.6,5
2020-12,1,7,1571,189,1933,224.4,27.0,276.1,1
2021-01,1,4,298,24,761,74.5,6.0,190.2,2
2021-02,1,10,118,77,1147,11.8,7.7,114.7,4
2021-04,1,1,67,0,86,67.0,0.0,86.0,1
2021-05,1,19,1170,262,4192,61.6,13.8,220.6,3
2021-06,1,2,54,15,210,27.0,7.5,105.0,2
2021-07,1,2,34,3,276,17.0,1.5,138.0,1
2021-09,1,1,18,6,185,18.0,6.0,185.0,1
2021-10,1,7,119,57,1338,17.0,8.1,191.1,1
2021-12,1,7,23,397,1209,3.3,56.7,172.7,1
2022-02,1,6,109,122,1221,18.2,20.3,203.5,4
2022-03,1,5,50,14,160,10.0,2.8,32.0,2
2022-04,1,5,101,47,740,20.2,9.4,148.0,3
2022-05,1,3,122,92,575,40.7,30.7,191.7,3
2022-06,1,2,22,25,283,11.0,12.5,141.5,2
2022-08,1,3,813,174,458,271.0,58.0,152.7,3
2022-09,1,1,52,37,222,52.0,37.0,222.0,1
2022-10,1,11,418,823,528,38.0,74.8,48.0,6
2022-11,1,9,1109,269,398,123.2,29.9,44.2,5
2022-12,1,10,1234,88,704,123.4,8.8,70.4,4
2023-01,1,24,2497,133,1956,104.0,5.5,81.5,6
2023-02,1,23,1589,418,1718,69.1,18.2,74.7,6
2023-03,1,15,517,219,2206,34.5,14.6,147.1,7
2023-04,1,8,97,137,824,12.1,17.1,103.0,2
2023-05,1,9,278,240,594,30.9,26.7,66.0,3
2023-06,1,9,2524,218,677,280.4,24.2,75.2,4
2023-07,1,7,860,130,566,122.9,18.6,80.9,5
2023-08,1,15,1190,337,868,79.3,22.5,57.9,5
2023-09,1,15,555,70,999,37.0,4.7,66.6,6
2023-10,1,9,217,96,494,24.1,10.7,54.9,4
2023-11,1,3,75,44,351,25.0,14.7,117.0,3
2024-01,1,8,57,85,200,7.1,10.6,25.0,3
2024-02,1,14,74,48,3412,5.3,3.4,243.7,5
2024-03,1,8,1758,117,2795,219.8,14.6,349.4,3
2024-04,1,18,2812,519,3156,156.2,28.8,175.3,6
2024-05,1,6,440,40,339,73.3,6.7,56.5,4
2024-06,1,9,32,24,2567,3.6,2.7,285.2,4
2024-07,1,10,823,373,408,82.3,37.3,40.8,4
2024-08,1,2,3,3,733,1.5,1.5,366.5,2
2024-09,1,9,522,333,858,58.0,37.0,95.3,4
2024-10,1,10,132,13,1893,13.2,1.3,189.3,5
2024-11,1,12,2812,349,2339,234.3,29.1,194.9,3
2024-12,1,24,1689,4443,3967,70.4,185.1,165.3,9
2025-01,1,17,1006,421,2079,59.2,24.8,122.3,5
2025-02,1,4,6,6,2284,1.5,1.5,571.0,2
2025-03,1,6,123,165,2375,20.5,27.5,395.8,3
2025-04,1,7,852,248,267,121.7,35.4,38.1,4
2025-05,1,13,2058,141,2142,158.3,10.8,164.8,7
2025-06,1,18,2564,435,3299,142.4,24.2,183.3,6
2025-07,1,10,968,314,315,96.8,31.4,31.5,4
2025-08,1,8,626,122,842,78.2,15.2,105.2,4
2025-09,1,11,608,89,343,55.3,8.1,31.2,4
2025-10,1,25,5498,858,2026,219.9,34.3,81.0,4
2025-11,1,22,2445,381,937,111.1,17.3,42.6,4
2025-12,1,2,692,3,269,346.0,1.5,134.5,2
2026-01,1,21,3010,984,1954,143.3,46.9,93.0,7
2026-02,1,16,3208,1343,1507,200.5,83.9,94.2,4
2026-03,1,24,3133,619,2773,130.5,25.8,115.5,7
2026-04,1,47,6281,1670,3276,133.6,35.5,69.7,7
2026-05,1,12,1239,859,1019,103.2,71.6,84.9,4
2026-06,1,20,3806,2910,2143,190.3,145.5,107.2,4
2026-07,1,26,3839,2833,3540,147.7,109.0,136.2,6
2026-08,1,12,244,133,1251,20.3,11.1,104.2,7
2026-09,1,6,391,278,979,65.2,46.3,163.2,2
