month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2011-11,1,6,326,60,375,54.3,10.0,62.5
2011-12,1,5,67,24,398,13.4,4.8,79.6
2012-02,1,54,3782,794,1986,70.0,14.7,36.8
2012-03,1,67,1372,433,2714,20.5,6.5,40.5
2012-04,1,1,128,9,37,128.0,9.0,37.0
2012-05,1,38,493,659,1902,13.0,17.3,50.1
2012-06,1,15,208,52,576,13.9,3.5,38.4
2012-07,1,5,27,16,148,5.4,3.2,29.6
2012-08,1,14,108,60,952,7.7,4.3,68.0
2012-09,1,20,106,51,1247,5.3,2.5,62.4
2012-10,1,6,62,8,338,10.3,1.3,56.3
2012-11,1,38,483,276,1867,12.7,7.3,49.1
2012-12,1,55,2782,1139,1955,50.6,20.7,35.5
2013-01,1,143,7132,5145,5132,49.9,36.0,35.9
2013-02,1,68,5562,667,2425,81.8,9.8,35.7
2013-03,1,30,812,502,1626,27.1,16.7,54.2
2013-04,1,40,193,67,2792,4.8,1.7,69.8
2013-05,1,12,1791,22,1043,149.2,1.8,86.9
2013-06,1,3,2,2,180,0.7,0.7,60.0
2013-07,1,4,50,6,528,12.5,1.5,132.0
2013-08,1,13,1223,17,599,94.1,1.3,46.1
2013-09,1,5,38,5,284,7.6,1.0,56.8
2013-10,1,78,680,5580,3784,8.7,71.5,48.5
2013-11,1,83,1988,5714,3449,24.0,68.8,41.6
2013-12,1,30,258,154,1989,8.6,5.1,66.3
2014-01,1,37,215,202,3359,5.8,5.5,90.8
2014-02,1,48,548,257,3346,11.4,5.4,69.7
2014-03,1,27,205,108,2064,7.6,4.0,76.4
2014-04,1,24,213,94,1383,8.9,3.9,57.6
2014-05,1,25,584,77,1815,23.4,3.1,72.6
2014-06,1,20,286,194,1475,14.3,9.7,73.8
2014-07,1,18,237,65,931,13.2,3.6,51.7
2014-08,1,20,212,44,1430,10.6,2.2,71.5
2014-09,1,19,196,115,1034,10.3,6.1,54.4
2014-10,1,11,66,20,604,6.0,1.8,54.9
2014-11,1,33,156,78,2547,4.7,2.4,77.2
2014-12,1,12,61,21,511,5.1,1.8,42.6
2015-01,1,11,121,32,1164,11.0,2.9,105.8
2015-02,1,10,15,34,388,1.5,3.4,38.8
2015-03,1,25,264,113,1578,10.6,4.5,63.1
2015-04,1,6,24,20,363,4.0,3.3,60.5
2015-05,1,10,166,25,670,16.6,2.5,67.0
2015-06,1,12,135,27,1000,11.2,2.2,83.3
2015-07,1,27,1141,730,1728,42.3,27.0,64.0
2015-08,1,23,177,59,1852,7.7,2.6,80.5
2015-09,1,50,1964,567,1660,39.3,11.3,33.2
2015-10,1,54,846,216,3087,15.7,4.0,57.2
2015-11,1,69,7138,2712,2959,103.4,39.3,42.9
2015-12,1,44,2628,2382,2820,59.7,54.1,64.1
2016-01,1,102,3258,1853,6026,31.9,18.2,59.1
2016-02,1,31,293,382,2530,9.5,12.3,81.6
2016-03,1,32,1806,431,1925,56.4,13.5,60.2
2016-04,1,42,1011,520,2887,24.1,12.4,68.7
2016-05,1,42,1165,1117,2336,27.7,26.6,55.6
2016-06,1,24,681,258,1241,28.4,10.8,51.7
2016-07,1,25,688,253,1282,27.5,10.1,51.3
2016-08,1,33,1486,468,1512,45.0,14.2,45.8
2016-09,1,19,1104,1345,1171,58.1,70.8,61.6
2016-10,1,19,763,358,1070,40.2,18.8,56.3
2016-11,1,34,948,518,2350,27.9,15.2,69.1
