month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2012-01,1,5,885,157,314,177.0,31.4,62.8,2
2012-02,1,40,509,201,2068,12.7,5.0,51.7,3
2012-03,1,1,18,6,34,18.0,6.0,34.0,1
2012-04,1,15,84,3,1250,5.6,0.2,83.3,2
2012-05,1,11,69,30,1330,6.3,2.7,120.9,3
2012-06,1,6,9,7,550,1.5,1.2,91.7,5
2012-07,1,6,5,7,325,0.8,1.2,54.2,2
2012-08,1,12,81,21,838,6.8,1.8,69.8,3
2012-09,1,3,11,6,211,3.7,2.0,70.3,2
2012-10,1,54,997,245,2472,18.5,4.5,45.8,5
2012-11,1,7,32,51,502,4.6,7.3,71.7,3
2012-12,1,28,393,172,1742,14.0,6.1,62.2,7
2013-01,1,20,227,48,1647,11.3,2.4,82.3,5
2013-02,1,18,90,33,1585,5.0,1.8,88.1,6
2013-03,1,11,44,32,719,4.0,2.9,65.4,6
2013-04,1,15,19,12,1144,1.3,0.8,76.3,7
2013-06,1,7,9,7,646,1.3,1.0,92.3,3
2013-07,1,2,6,2,24,3.0,1.0,12.0,2
2013-08,1,6,27,3,384,4.5,0.5,64.0,3
2013-09,1,28,278,170,1996,9.9,6.1,71.3,6
2013-11,1,4,18,1,236,4.5,0.2,59.0,3
2013-12,1,7,196,59,208,28.0,8.4,29.7,2
2014-01,1,4,2,2,251,0.5,0.5,62.8,3
2014-02,1,3,18,4,205,6.0,1.3,68.3,2
2014-03,1,4,20,0,571,5.0,0.0,142.8,3
2014-04,1,19,140,75,1675,7.4,3.9,88.2,6
2014-05,1,8,95,36,468,11.9,4.5,58.5,2
2014-06,1,12,197,35,831,16.4,2.9,69.2,4
2014-07,1,8,77,34,596,9.6,4.2,74.5,4
2014-08,1,10,105,15,421,10.5,1.5,42.1,2
2014-09,1,12,5189,9,1004,432.4,0.8,83.7,4
2014-10,1,2,6,6,138,3.0,3.0,69.0,2
2014-12,1,3,26,11,187,8.7,3.7,62.3,3
2015-01,1,7,348,29,1743,49.7,4.1,249.0,5
2015-02,1,2,2,1,92,1.0,0.5,46.0,2
2015-03,1,10,33,15,660,3.3,1.5,66.0,3
2015-04,1,2,12,8,126,6.0,4.0,63.0,2
2015-05,1,47,278,174,3322,5.9,3.7,70.7,6
2015-07,1,5,1020,11,256,204.0,2.2,51.2,2
2015-08,1,6,56,5,835,9.3,0.8,139.2,3
2015-09,1,22,452,85,813,20.5,3.9,37.0,5
2015-10,1,11,12,13,554,1.1,1.2,50.4,5
2015-11,1,11,28,28,598,2.5,2.5,54.4,4
2015-12,1,16,173,52,1208,10.8,3.2,75.5,5
2016-01,1,8,133,104,971,16.6,13.0,121.4,2
2016-02,1,4,77,12,402,19.2,3.0,100.5,2
2016-03,1,11,354,168,910,32.2,15.3,82.7,2
2016-04,1,28,336,148,885,12.0,5.3,31.6,2
2016-05,1,57,1012,346,2420,17.8,6.1,42.5,7
2016-06,1,27,199,46,1460,7.4,1.7,54.1,4
2016-07,1,33,319,167,1900,9.7,5.1,57.6,4
2016-08,1,15,177,342,1122,11.8,22.8,74.8,3
2016-09,1,51,799,477,3229,15.7,9.4,63.3,3
2016-10,1,9,68,30,1121,7.6,3.3,124.6,4
2016-11,1,13,30,16,1257,2.3,1.2,96.7,7
2016-12,1,9,62,7,461,6.9,0.8,51.2,1
2017-01,1,7,53,43,567,7.6,6.1,81.0,1
2017-02,1,47,3770,1147,3454,80.2,24.4,73.5,5
2017-03,1,30,1330,905,2104,44.3,30.2,70.1,6
2017-04,1,17,2277,1367,1144,133.9,80.4,67.3,6
2017-05,1,13,2487,6770,1105,191.3,520.8,85.0,6
2017-06,1,5,426,20,485,85.2,4.0,97.0,4
2017-07,1,2,2236,1904,108,1118.0,952.0,54.0,1
2017-08,1,1,68,46,260,68.0,46.0,260.0,1
2017-09,1,2,711,680,478,355.5,340.0,239.0,1
2017-11,1,1,57,36,168,57.0,36.0,168.0,1
2017-12,1,3,2581,1293,149,860.3,431.0,49.7,2
2018-01,1,11,1747,826,944,158.8,75.1,85.8,2
2018-02,1,7,1090,909,461,155.7,129.9,65.9,4
2018-03,1,5,2489,373,246,497.8,74.6,49.2,1
2018-04,1,2,343,79,126,171.5,39.5,63.0,2
2018-05,1,7,1962,1051,1808,280.3,150.1,258.3,3
2018-06,1,13,1614,777,2116,124.2,59.8,162.8,3
2018-07,1,4,488,384,311,122.0,96.0,77.8,2
2018-08,1,14,1039,2025,876,74.2,144.6,62.6,2
2018-09,1,6,501,545,375,83.5,90.8,62.5,2
2018-10,1,9,2755,1409,454,306.1,156.6,50.4,4
2018-11,1,18,4632,8111,1042,257.3,450.6,57.9,3
2018-12,1,5,943,2256,222,188.6,451.2,44.4,2
2019-01,1,14,687,658,1003,49.1,47.0,71.6,5
2019-02,1,26,1090,638,2928,41.9,24.5,112.6,9
2019-03,1,7,94,29,372,13.4,4.1,53.1,3
2019-04,1,5,178,45,401,35.6,9.0,80.2,5
2019-05,1,8,2297,964,514,287.1,120.5,64.2,5
2019-06,1,6,96,47,356,16.0,7.8,59.3,6
2019-07,1,10,620,268,705,62.0,26.8,70.5,6
2019-08,1,8,779,348,908,97.4,43.5,113.5,3
2019-09,1,10,630,175,1206,63.0,17.5,120.6,4
2019-10,1,12,816,276,1025,68.0,23.0,85.4,9
2019-11,1,10,366,707,390,36.6,70.7,39.0,5
2019-12,1,12,930,330,735,77.5,27.5,61.2,6
2020-01,1,13,438,144,823,33.7,11.1,63.3,10
2020-02,1,4,103,83,620,25.8,20.8,155.0,3
2020-03,1,7,758,177,489,108.3,25.3,69.9,5
2020-04,1,4,1038,578,205,259.5,144.5,51.2,3
2020-05,1,11,1157,416,871,105.2,37.8,79.2,3
2020-06,1,3,93,66,205,31.0,22.0,68.3,3
2020-07,1,18,1696,1784,1367,94.2,99.1,75.9,5
2020-08,1,16,3251,3567,988,203.2,222.9,61.8,5
2020-09,1,25,4606,3012,1677,184.2,120.5,67.1,3
2020-10,1,8,105,79,616,13.1,9.9,77.0,5
2020-11,1,7,189,159,471,27.0,22.7,67.3,5
2020-12,1,12,599,705,642,49.9,58.8,53.5,3
2021-01,1,15,1323,374,1055,88.2,24.9,70.3,5
2021-02,1,10,665,190,784,66.5,19.0,78.4,4
2021-03,1,12,304,41,873,25.3,3.4,72.8,7
2021-04,1,3,110,31,126,36.7,10.3,42.0,2
2021-05,1,5,7,3,316,1.4,0.6,63.2,2
2021-06,1,3,73,52,320,24.3,17.3,106.7,2
2021-07,1,5,10,14,367,2.0,2.8,73.4,4
2021-08,1,4,155,24,234,38.8,6.0,58.5,2
2021-09,1,2,9,3,199,4.5,1.5,99.5,2
2021-10,1,7,89,27,782,12.7,3.9,111.7,4
2021-11,1,3,4,1,134,1.3,0.3,44.7,2
2021-12,1,1,4,0,23,4.0,0.0,23.0,1
2022-01,1,17,1205,314,2063,70.9,18.5,121.4,4
2022-02,1,4,58,13,624,14.5,3.2,156.0,2
2022-03,1,6,406,38,499,67.7,6.3,83.2,2
2022-05,1,14,491,171,803,35.1,12.2,57.4,7
2022-06,1,8,128,8,366,16.0,1.0,45.8,4
2022-07,1,4,76,14,163,19.0,3.5,40.8,1
2022-08,1,11,456,90,462,41.5,8.2,42.0,3
2022-09,1,23,1780,110,1199,77.4,4.8,52.1,6
2022-10,1,35,326,31,1740,9.3,0.9,49.7,7
2022-11,1,15,415,232,640,27.7,15.5,42.7,6
2022-12,1,1,7,7,31,7.0,7.0,31.0,1
2023-01,1,12,197,46,789,16.4,3.8,65.8,8
2023-02,1,23,285,60,964,12.4,2.6,41.9,5
2023-03,1,31,2893,382,1535,93.3,12.3,49.5,5
2023-04,1,3,386,25,329,128.7,8.3,109.7,2
2023-05,1,19,120,20,617,6.3,1.1,32.5,4
2023-06,1,13,1518,90,474,116.8,6.9,36.5,2
2023-07,1,11,701,381,437,63.7,34.6,39.7,7
2023-08,1,5,87,91,319,17.4,18.2,63.8,4
2023-09,1,2,5,16,240,2.5,8.0,120.0,2
2023-10,1,29,2592,4062,1252,89.4,140.1,43.2,5
2023-11,1,24,1055,944,861,44.0,39.3,35.9,6
2023-12,1,25,1739,97,1119,69.6,3.9,44.8,6
2024-01,1,22,1099,138,1205,50.0,6.3,54.8,7
2024-02,1,10,449,63,501,44.9,6.3,50.1,6
2024-03,1,6,623,474,268,103.8,79.0,44.7,3
2024-04,1,8,343,82,403,42.9,10.2,50.4,3
2024-05,1,9,358,100,869,39.8,11.1,96.6,5
2024-06,1,6,168,47,182,28.0,7.8,30.3,3
2024-07,1,7,31,22,255,4.4,3.1,36.4,5
2024-08,1,8,220,97,342,27.5,12.1,42.8,4
2024-09,1,3,57,8,122,19.0,2.7,40.7,2
2024-10,1,1,28,2,66,28.0,2.0,66.0,1
2024-11,1,7,207,1450,387,29.6,207.1,55.3,4
2024-12,1,4,115,19,469,28.8,4.8,117.2,4
2025-01,1,2,6,6,107,3.0,3.0,53.5,2
2025-02,1,3,55,1,290,18.3,0.3,96.7,3
2025-03,1,2,164,15,249,82.0,7.5,124.5,2
2025-04,1,5,45,7,189,9.0,1.4,37.8,3
2025-05,1,14,1706,260,835,121.9,18.6,59.6,5
2025-06,1,26,1062,290,1167,40.8,11.2,44.9,8
2025-07,1,6,53,16,271,8.8,2.7,45.2,3
2025-08,1,14,795,166,959,56.8,11.9,68.5,5
2025-09,1,18,519,70,1101,28.8,3.9,61.2,6
2025-10,1,13,54,12,560,4.2,0.9,43.1,6
2025-11,1,21,2193,91,1209,104.4,4.3,57.6,7
2025-12,1,8,139,21,612,17.4,2.6,76.5,3
2026-01,1,3,38,1,129,12.7,0.3,43.0,3
2026-02,1,17,2204,243,1141,129.6,14.3,67.1,7
2026-03,1,32,3107,754,3200,97.1,23.6,100.0,10
2026-04,1,29,2864,114,2698,98.8,3.9,93.0,7
2026-05,1,12,2286,64,1273,190.5,5.3,106.1,4
2026-06,1,33,798,190,4896,24.2,5.8,148.4,5
2026-07,1,10,2227,551,1031,222.7,55.1,103.1,4
2026-08,1,13,122,113,823,9.4,8.7,63.3,9
2026-09,1,7,933,134,976,133.3,19.1,139.4,6
