month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2018-09,1,59,2368,533,2153,40.1,9.0,36.5,7
2018-10,1,44,498,133,2257,11.3,3.0,51.3,5
2018-11,1,36,383,104,1930,10.6,2.9,53.6,7
2018-12,1,35,418,96,1822,11.9,2.7,52.1,5
2019-01,1,50,613,134,2337,12.3,2.7,46.7,7
2019-02,1,45,585,124,2056,13.0,2.8,45.7,7
2019-03,1,24,299,80,1187,12.5,3.3,49.5,5
2019-04,1,39,523,110,1967,13.4,2.8,50.4,7
2019-05,1,29,386,67,1433,13.3,2.3,49.4,6
2019-06,1,23,263,56,1110,11.4,2.4,48.3,6
2019-07,1,38,823,219,1802,21.7,5.8,47.4,8
2019-08,1,14,776,39,728,55.4,2.8,52.0,4
2019-09,1,16,276,48,849,17.2,3.0,53.1,7
2019-10,1,30,974,78,1534,32.5,2.6,51.1,6
2019-11,1,19,801,51,980,42.2,2.7,51.6,5
2019-12,1,12,543,32,647,45.2,2.7,53.9,5
2020-01,1,35,846,80,1876,24.2,2.3,53.6,4
2020-02,1,48,1430,123,2520,29.8,2.6,52.5,6
2020-03,1,38,1843,107,2175,48.5,2.8,57.2,7
2020-04,1,14,455,36,684,32.5,2.6,48.9,6
2020-05,1,26,420,71,1326,16.2,2.7,51.0,7
2020-06,1,49,1395,193,2767,28.5,3.9,56.5,11
2020-07,1,60,1476,170,4464,24.6,2.8,74.4,7
2020-08,1,63,2180,172,3279,34.6,2.7,52.0,6
2020-09,1,45,1338,110,2356,29.7,2.4,52.4,6
2020-10,1,46,1420,116,2466,30.9,2.5,53.6,7
2020-11,1,58,1385,161,3013,23.9,2.8,51.9,11
2020-12,1,55,1438,136,2791,26.1,2.5,50.7,7
2021-01,1,60,1342,135,3073,22.4,2.2,51.2,4
2021-02,1,125,2092,353,6696,16.7,2.8,53.6,12
2021-03,1,103,1846,255,5632,17.9,2.5,54.7,4
2021-04,1,126,2768,350,6707,22.0,2.8,53.2,3
2021-05,1,77,1430,193,4128,18.6,2.5,53.6,8
2021-06,1,75,4445,507,3887,59.3,6.8,51.8,6
2021-07,1,46,2534,320,2205,55.1,7.0,47.9,5
2021-08,1,40,2116,343,1952,52.9,8.6,48.8,8
2021-09,1,50,3008,386,2472,60.2,7.7,49.4,4
2021-10,1,39,2278,375,1826,58.4,9.6,46.8,5
2021-11,1,41,3656,444,1990,89.2,10.8,48.5,3
2021-12,1,36,2421,381,1739,67.2,10.6,48.3,5
2022-01,1,48,3548,407,2402,73.9,8.5,50.0,3
2022-02,1,49,5233,424,2457,106.8,8.7,50.1,2
2022-03,1,61,8323,502,3222,136.4,8.2,52.8,4
2022-04,1,45,6537,459,2205,145.3,10.2,49.0,3
2022-05,1,30,1837,206,1472,61.2,6.9,49.1,1
2022-06,1,46,6477,659,2400,140.8,14.3,52.2,6
2022-07,1,66,7331,464,3283,111.1,7.0,49.7,3
2022-08,1,50,6770,479,2730,135.4,9.6,54.6,3
2022-09,1,43,3662,286,2149,85.2,6.7,50.0,2
2022-10,1,72,8871,727,3656,123.2,10.1,50.8,1
2022-11,1,72,9683,760,3759,134.5,10.6,52.2,4
2022-12,1,48,10267,642,2462,213.9,13.4,51.3,4
