month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-05,1,11,672,44,255,61.1,4.0,23.2
2016-06,1,4,56,11,82,14.0,2.8,20.5
2016-07,1,3,10,9,93,3.3,3.0,31.0
2016-08,1,13,171,76,425,13.2,5.8,32.7
2016-09,1,6,34,13,195,5.7,2.2,32.5
2016-10,1,8,104,29,340,13.0,3.6,42.5
2016-11,1,3,7,5,58,2.3,1.7,19.3
2016-12,1,16,74,45,521,4.6,2.8,32.6
2017-02,1,4,9,2,191,2.2,0.5,47.8
2017-03,1,10,335,149,707,33.5,14.9,70.7
2017-04,1,3,8,4,141,2.7,1.3,47.0
2017-06,1,9,56,29,548,6.2,3.2,60.9
2017-07,1,2,3,3,88,1.5,1.5,44.0
2017-08,1,4,379,665,116,94.8,166.2,29.0
2017-10,1,6,85,28,213,14.2,4.7,35.5
2017-11,1,1,0,0,66,0.0,0.0,66.0
2018-03,1,60,4250,851,2338,70.8,14.2,39.0
2018-04,1,134,6066,2542,4976,45.3,19.0,37.1
2018-05,1,27,1264,735,1983,46.8,27.2,73.4
2018-06,1,91,5015,2791,4629,55.1,30.7,50.9
2018-07,1,6,143,76,287,23.8,12.7,47.8
2018-08,1,24,1056,1559,858,44.0,65.0,35.8
2018-09,1,48,1895,2315,2595,39.5,48.2,54.1
2018-10,1,1,2,2,47,2.0,2.0,47.0
2018-11,1,1,30,0,65,30.0,0.0,65.0
2019-01,1,32,728,632,1366,22.8,19.8,42.7
2019-02,1,38,571,299,1384,15.0,7.9,36.4
2019-03,1,5,47,17,217,9.4,3.4,43.4
2019-04,1,11,131,78,640,11.9,7.1,58.2
2019-05,1,6,108,31,647,18.0,5.2,107.8
2019-07,1,7,24,15,283,3.4,2.1,40.4
2019-08,1,4,27,64,100,6.8,16.0,25.0
2019-10,1,1,1,1,52,1.0,1.0,52.0
2019-11,1,12,88,64,475,7.3,5.3,39.6
2019-12,1,7,41,44,290,5.9,6.3,41.4
2020-01,1,2,24,45,98,12.0,22.5,49.0
2020-02,1,18,357,302,698,19.8,16.8,38.8
2020-03,1,2,26,24,190,13.0,12.0,95.0
2020-04,1,15,1158,1191,1403,77.2,79.4,93.5
2020-05,1,19,4482,3067,3127,235.9,161.4,164.6
2020-06,1,9,611,551,723,67.9,61.2,80.3
2020-07,1,1,14,4,55,14.0,4.0,55.0
