month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2016-04,1,1,2339,0,14,2339.0,0.0,14.0,1
2016-05,1,17,186,19,756,10.9,1.1,44.5,4
2016-06,1,10,53,13,742,5.3,1.3,74.2,5
2016-07,1,10,38,11,303,3.8,1.1,30.3,2
2016-09,1,17,927,37,669,54.5,2.2,39.4,2
2016-10,1,7,34,9,502,4.9,1.3,71.7,2
2016-11,1,3,107,3,403,35.7,1.0,134.3,2
2016-12,1,3,28,5,163,9.3,1.7,54.3,2
2017-01,1,6,18,2,338,3.0,0.3,56.3,3
2017-02,1,2,20,5,70,10.0,2.5,35.0,2
2017-03,1,4,323,10,876,80.8,2.5,219.0,1
2017-04,1,2,19,1,170,9.5,0.5,85.0,2
2017-05,1,29,213,87,3736,7.3,3.0,128.8,4
2017-06,1,6,57,14,525,9.5,2.3,87.5,2
2017-07,1,10,129,29,643,12.9,2.9,64.3,2
2017-08,1,59,1491,1260,2467,25.3,21.4,41.8,2
2017-09,1,2,2,2,233,1.0,1.0,116.5,2
2017-10,1,11,47,7,908,4.3,0.6,82.5,3
2017-11,1,16,169,215,641,10.6,13.4,40.1,1
2017-12,1,23,204,92,825,8.9,4.0,35.9,1
2018-01,1,6,6,8,328,1.0,1.3,54.7,2
2018-02,1,8,22,7,327,2.8,0.9,40.9,2
2018-03,1,5,24,1,318,4.8,0.2,63.6,3
2018-04,1,1,9,2,36,9.0,2.0,36.0,1
2018-05,1,2,78,4,233,39.0,2.0,116.5,2
2018-06,1,6,36,6,305,6.0,1.0,50.8,1
2018-07,1,2,1,3,111,0.5,1.5,55.5,2
2018-08,1,2,34,29,69,17.0,14.5,34.5,2
2018-09,1,4,7,1,111,1.8,0.2,27.8,2
2018-10,1,6,22,3,238,3.7,0.5,39.7,2
2018-11,1,4,52,14,159,13.0,3.5,39.8,2
2018-12,1,1,0,0,79,0.0,0.0,79.0,1
2019-01,1,54,1090,1226,1984,20.2,22.7,36.7,4
2019-02,1,49,873,870,2385,17.8,17.8,48.7,2
2019-03,1,22,581,380,1052,26.4,17.3,47.8,1
2019-04,1,2,7,2,88,3.5,1.0,44.0,1
2019-05,1,14,37,15,765,2.6,1.1,54.6,4
2019-06,1,5,9,7,324,1.8,1.4,64.8,2
2019-07,1,9,60,2,663,6.7,0.2,73.7,5
2019-09,1,42,660,236,2097,15.7,5.6,49.9,6
2019-10,1,25,101,101,1230,4.0,4.0,49.2,6
2019-11,1,27,429,105,887,15.9,3.9,32.9,1
2019-12,1,8,249,282,1994,31.1,35.2,249.2,4
2020-01,1,15,263,240,2021,17.5,16.0,134.7,7
2020-02,1,5,83,108,733,16.6,21.6,146.6,3
2020-03,1,3,327,16,1913,109.0,5.3,637.7,3
2020-04,1,5,434,70,409,86.8,14.0,81.8,4
2020-05,1,7,247,114,1512,35.3,16.3,216.0,3
2020-06,1,4,9,11,234,2.2,2.8,58.5,2
2020-07,1,5,340,21,595,68.0,4.2,119.0,3
2020-10,1,7,106,83,1224,15.1,11.9,174.9,3
2020-11,1,7,1383,1062,1063,197.6,151.7,151.9,5
2020-12,1,5,113,153,359,22.6,30.6,71.8,3
2021-01,1,21,2642,4148,1850,125.8,197.5,88.1,6
2021-02,1,10,2576,287,877,257.6,28.7,87.7,4
2021-03,1,10,1446,124,1023,144.6,12.4,102.3,4
2021-04,1,12,1414,143,942,117.8,11.9,78.5,5
2021-05,1,13,353,55,740,27.2,4.2,56.9,4
2021-06,1,6,266,131,493,44.3,21.8,82.2,3
2021-07,1,6,448,89,485,74.7,14.8,80.8,4
2021-08,1,10,702,82,573,70.2,8.2,57.3,2
2021-09,1,5,591,527,538,118.2,105.4,107.6,3
2021-10,1,8,949,191,1015,118.6,23.9,126.9,5
2021-12,1,3,292,237,206,97.3,79.0,68.7,2
2022-01,1,5,244,25,375,48.8,5.0,75.0,3
2022-02,1,5,517,63,1528,103.4,12.6,305.6,5
2022-03,1,3,28,19,140,9.3,6.3,46.7,2
2022-05,1,13,100,37,1046,7.7,2.8,80.5,7
2022-06,1,2,69,465,81,34.5,232.5,40.5,2
2022-07,1,2,1254,71,247,627.0,35.5,123.5,2
2022-08,1,1,153,27,105,153.0,27.0,105.0,1
2022-10,1,10,175,18,487,17.5,1.8,48.7,3
2022-11,1,12,172,33,528,14.3,2.8,44.0,4
2022-12,1,4,18,14,126,4.5,3.5,31.5,2
2023-02,1,14,595,262,658,42.5,18.7,47.0,5
2023-03,1,5,93,3,122,18.6,0.6,24.4,2
2023-04,1,5,34,23,359,6.8,4.6,71.8,3
2023-05,1,5,37,13,241,7.4,2.6,48.2,3
2023-06,1,16,442,310,808,27.6,19.4,50.5,6
2023-07,1,6,1216,624,394,202.7,104.0,65.7,4
2023-08,1,5,92,71,204,18.4,14.2,40.8,3
2023-09,1,5,286,8,211,57.2,1.6,42.2,4
2023-10,1,9,149,141,346,16.6,15.7,38.4,3
2023-11,1,1,29,25,60,29.0,25.0,60.0,1
2023-12,1,10,227,73,548,22.7,7.3,54.8,5
2024-01,1,7,45,25,219,6.4,3.6,31.3,5
2024-02,1,7,1500,459,349,214.3,65.6,49.9,5
2024-03,1,5,22,22,964,4.4,4.4,192.8,1
2024-04,1,11,588,1191,1272,53.5,108.3,115.6,4
2024-06,1,7,240,93,855,34.3,13.3,122.1,3
2024-07,1,11,84,61,826,7.6,5.5,75.1,5
2024-08,1,4,102,71,647,25.5,17.8,161.8,2
2024-09,1,3,63,24,279,21.0,8.0,93.0,2
2024-10,1,1,2,2,182,2.0,2.0,182.0,1
2024-11,1,6,44,25,355,7.3,4.2,59.2,4
2024-12,1,5,91,14,530,18.2,2.8,106.0,4
2025-01,1,1,1,1,202,1.0,1.0,202.0,1
2025-02,1,3,59,7,387,19.7,2.3,129.0,3
2025-03,1,4,33,2,328,8.2,0.5,82.0,3
2025-05,1,2,34,12,141,17.0,6.0,70.5,2
2025-07,1,10,134,100,483,13.4,10.0,48.3,5
2025-08,1,2,29,4,109,14.5,2.0,54.5,2
2025-09,1,27,2759,159,1660,102.2,5.9,61.5,8
2025-10,1,2,22,1,269,11.0,0.5,134.5,2
2025-11,1,1,1,0,29,1.0,0.0,29.0,1
2025-12,1,20,969,231,848,48.5,11.6,42.4,4
2026-02,1,6,49,23,380,8.2,3.8,63.3,5
2026-03,1,11,1442,424,1039,131.1,38.5,94.5,5
2026-04,1,7,514,33,420,73.4,4.7,60.0,5
2026-05,1,7,138,35,1162,19.7,5.0,166.0,2
2026-06,1,8,251,35,1300,31.4,4.4,162.5,3
2026-07,1,10,54,17,1611,5.4,1.7,161.1,5
2026-08,1,10,28,25,534,2.8,2.5,53.4,7
2026-09,1,2,137,3,262,68.5,1.5,131.0,2
