month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2018-07,1,5,2518,58,118,503.6,11.6,23.6
2018-08,1,12,1132,445,282,94.3,37.1,23.5
2018-09,1,2,49,27,45,24.5,13.5,22.5
2018-10,1,50,1633,779,1785,32.7,15.6,35.7
2018-11,1,3,13,9,188,4.3,3.0,62.7
2018-12,1,1,0,0,126,0.0,0.0,126.0
2019-01,1,14,181,162,668,12.9,11.6,47.7
2019-03,1,2,1,1,125,0.5,0.5,62.5
2019-09,1,1,1,1,20,1.0,1.0,20.0
2020-04,1,3,15,3,173,5.0,1.0,57.7
2020-09,1,4,57,21,61,14.2,5.2,15.2
2020-12,1,5,128,1703,195,25.6,340.6,39.0
2021-01,1,5,24,33,139,4.8,6.6,27.8
2021-02,1,2,7,0,125,3.5,0.0,62.5
2021-03,1,1,7,2,18,7.0,2.0,18.0
2021-04,1,2,5,1,37,2.5,0.5,18.5
2021-10,1,3,4,8,85,1.3,2.7,28.3
