month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2020-10,1,13,6452,614,171,496.3,47.2,13.2,1
2020-11,1,25,5835,5421,573,233.4,216.8,22.9,1
2020-12,1,4,68,11,96,17.0,2.8,24.0,1
2021-01,1,5,27,2,182,5.4,0.4,36.4,2
2021-02,1,7,8260,1842,536,1180.0,263.1,76.6,2
2021-03,1,25,1687,783,806,67.5,31.3,32.2,6
2021-04,1,26,361,77,881,13.9,3.0,33.9,3
2021-05,1,87,6608,9967,5341,76.0,114.6,61.4,5
2021-06,1,35,2364,644,3583,67.5,18.4,102.4,4
2021-07,1,32,2100,614,1288,65.6,19.2,40.2,3
2021-08,1,21,3713,190,3104,176.8,9.0,147.8,3
2021-09,1,34,4156,869,1942,122.2,25.6,57.1,3
2021-10,1,30,6315,2828,2645,210.5,94.3,88.2,7
2021-11,1,32,1656,219,2117,51.8,6.8,66.2,6
2021-12,1,46,3354,2261,2981,72.9,49.2,64.8,7
2022-01,1,33,1245,304,2695,37.7,9.2,81.7,7
2022-02,1,41,6623,4163,6787,161.5,101.5,165.5,6
2022-03,1,36,1743,1016,8043,48.4,28.2,223.4,7
2022-04,1,34,6658,1297,6858,195.8,38.1,201.7,8
2022-05,1,25,2725,1928,4520,109.0,77.1,180.8,7
2022-06,1,69,5013,1591,11179,72.7,23.1,162.0,8
2022-07,1,50,2144,671,7907,42.9,13.4,158.1,5
2022-08,1,24,250,121,2788,10.4,5.0,116.2,4
2022-09,1,30,736,290,4037,24.5,9.7,134.6,5
2022-10,1,42,1880,1177,7484,44.8,28.0,178.2,4
2022-11,1,34,1308,967,3914,38.5,28.4,115.1,4
2022-12,1,19,319,176,1287,16.8,9.3,67.7,4
2023-01,1,25,412,330,1369,16.5,13.2,54.8,4
2023-02,1,33,673,332,1524,20.4,10.1,46.2,3
2023-03,1,30,1706,460,1505,56.9,15.3,50.2,4
2023-04,1,16,551,172,1058,34.4,10.8,66.1,3
2023-05,1,36,1482,491,1798,41.2,13.6,49.9,4
2023-06,1,31,1505,655,2112,48.5,21.1,68.1,3
2023-07,1,15,1169,462,814,77.9,30.8,54.3,2
2023-08,1,15,391,847,766,26.1,56.5,51.1,3
2023-09,1,19,770,678,843,40.5,35.7,44.4,3
2023-10,1,8,46,13,399,5.8,1.6,49.9,2
2023-11,1,23,331,319,1026,14.4,13.9,44.6,4
2023-12,1,17,278,73,787,16.4,4.3,46.3,2
2024-01,1,19,79,49,996,4.2,2.6,52.4,3
2024-02,1,13,236,87,564,18.2,6.7,43.4,3
2024-03,1,17,87,35,744,5.1,2.1,43.8,3
2024-04,1,22,403,228,925,18.3,10.4,42.0,4
2024-05,1,26,602,158,1109,23.2,6.1,42.7,5
2024-06,1,27,468,194,1277,17.3,7.2,47.3,5
2024-07,1,33,12138,12094,1665,367.8,366.5,50.5,6
2024-08,1,23,162,113,1179,7.0,4.9,51.3,5
2024-09,1,19,723,570,986,38.1,30.0,51.9,4
2024-10,1,39,2392,1188,1621,61.3,30.5,41.6,5
2024-11,1,39,948,580,1896,24.3,14.9,48.6,5
2024-12,1,14,1215,493,632,86.8,35.2,45.1,4
2025-01,1,43,2144,1222,2108,49.9,28.4,49.0,5
2025-02,1,38,715,557,1781,18.8,14.7,46.9,6
2025-03,1,23,208,64,1088,9.0,2.8,47.3,3
2025-04,1,38,1386,1016,2029,36.5,26.7,53.4,4
2025-05,1,27,433,134,1645,16.0,5.0,60.9,4
2025-06,1,18,751,592,1151,41.7,32.9,63.9,5
2025-07,1,21,5989,1220,903,285.2,58.1,43.0,5
2025-08,1,32,7142,3095,1523,223.2,96.7,47.6,2
2025-09,1,39,1894,1428,1942,48.6,36.6,49.8,3
2025-10,1,23,395,333,1457,17.2,14.5,63.3,4
2025-11,1,44,3592,1406,2806,81.6,32.0,63.8,4
2025-12,1,26,733,652,1108,28.2,25.1,42.6,4
2026-01,1,28,2758,811,1829,98.5,29.0,65.3,5
2026-02,1,50,2929,1260,2411,58.6,25.2,48.2,5
2026-03,1,34,2311,3790,2935,68.0,111.5,86.3,6
2026-04,1,24,1561,581,2683,65.0,24.2,111.8,6
2026-05,1,34,2244,830,1684,66.0,24.4,49.5,5
2026-06,1,42,2812,537,1975,67.0,12.8,47.0,5
2026-07,1,40,5551,1922,1826,138.8,48.0,45.6,6
2026-08,1,23,2061,366,2296,89.6,15.9,99.8,6
2026-09,1,29,2048,484,1385,70.6,16.7,47.8,6
