month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2017-10,1,7,1322,109,335,188.9,15.6,47.9
2017-11,1,8,57,17,246,7.1,2.1,30.8
2017-12,1,3,639,113,215,213.0,37.7,71.7
2018-01,1,34,8631,1358,1377,253.9,39.9,40.5
2018-02,1,4,1322,1103,386,330.5,275.8,96.5
2018-03,1,12,2938,38,717,244.8,3.2,59.8
2018-04,1,6,4505,2253,586,750.8,375.5,97.7
2018-07,1,1,1,1,115,1.0,1.0,115.0
2018-09,1,12,1441,1396,683,120.1,116.3,56.9
2018-11,1,4,67,44,124,16.8,11.0,31.0
2019-02,1,1,1,1,43,1.0,1.0,43.0
2019-06,1,1,2594,3606,255,2594.0,3606.0,255.0
2019-07,1,7,46,6,184,6.6,0.9,26.3
2019-09,1,5,3593,7625,175,718.6,1525.0,35.0
2019-10,1,16,2425,961,1354,151.6,60.1,84.6
2019-11,1,7,105,73,286,15.0,10.4,40.9
2020-01,1,1,1,1,183,1.0,1.0,183.0
2020-02,1,4,49,14,138,12.2,3.5,34.5
2020-04,1,10,108,68,269,10.8,6.8,26.9
2020-05,1,1,5,9,34,5.0,9.0,34.0
2020-06,1,1,46,7,45,46.0,7.0,45.0
2020-07,1,10,135,62,1634,13.5,6.2,163.4
2020-08,1,4,33,28,857,8.2,7.0,214.2
2020-09,1,13,83,75,2753,6.4,5.8,211.8
2020-10,1,1,45,1425,39,45.0,1425.0,39.0
2020-11,1,6,273,159,420,45.5,26.5,70.0
2020-12,1,1,1,1,114,1.0,1.0,114.0
2021-01,1,5,127,62,1542,25.4,12.4,308.4
2021-02,1,6,12,5,265,2.0,0.8,44.2
2021-03,1,6,42,38,937,7.0,6.3,156.2
2021-04,1,9,1344,1013,1316,149.3,112.6,146.2
2021-06,1,2,25,7,97,12.5,3.5,48.5
2021-07,1,8,84,170,690,10.5,21.2,86.2
2021-08,1,13,204,117,4217,15.7,9.0,324.4
2021-09,1,3,3,2,240,1.0,0.7,80.0
2021-10,1,32,734,1408,6119,22.9,44.0,191.2
2021-11,1,1,7,5,31,7.0,5.0,31.0
2022-01,1,6,33,5,573,5.5,0.8,95.5
2022-02,1,15,63,38,615,4.2,2.5,41.0
2022-04,1,6,333,279,651,55.5,46.5,108.5
2022-05,1,2,6,7,68,3.0,3.5,34.0
2022-06,1,2,27,1,100,13.5,0.5,50.0
2022-07,1,4,21,14,335,5.2,3.5,83.8
2022-10,1,11,38,22,2105,3.5,2.0,191.4
2022-11,1,2,20,14,619,10.0,7.0,309.5
2022-12,1,1,1,1,22,1.0,1.0,22.0
2023-01,1,1,2,2,22,2.0,2.0,22.0
2023-02,1,2,22,183,121,11.0,91.5,60.5
2023-04,1,4,14,8,345,3.5,2.0,86.2
2023-05,1,1,40,40,29,40.0,40.0,29.0
2023-11,1,3,25,12,92,8.3,4.0,30.7
