month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2022-08,1,11,35670,583,284,3242.7,53.0,25.8,2
2022-09,1,3,130,86,109,43.3,28.7,36.3,1
2022-11,1,1,18,18,490,18.0,18.0,490.0,1
2022-12,1,6,1241,2753,3294,206.8,458.8,549.0,2
2023-01,1,2,34,34,1085,17.0,17.0,542.5,1
2023-02,1,19,209,778,6170,11.0,40.9,324.7,2
2023-03,1,49,18297,27371,3368,373.4,558.6,68.7,4
2023-04,1,22,1819,1139,1924,82.7,51.8,87.5,7
2023-05,1,5,115,28,225,23.0,5.6,45.0,3
2023-06,1,1,13,3,90,13.0,3.0,90.0,1
2023-07,1,12,1251,2173,1847,104.2,181.1,153.9,5
2023-08,1,2,309,84,267,154.5,42.0,133.5,2
2023-09,1,3,1200,564,1187,400.0,188.0,395.7,3
2023-10,1,3,160,135,1341,53.3,45.0,447.0,2
2023-11,1,6,530,123,610,88.3,20.5,101.7,4
2023-12,1,1,202,0,60,202.0,0.0,60.0,1
2024-01,1,7,942,243,644,134.6,34.7,92.0,5
2024-03,1,1,2,3,112,2.0,3.0,112.0,1
2024-04,1,4,217,23,703,54.2,5.8,175.8,4
2024-05,1,2,211,0,2121,105.5,0.0,1060.5,2
2024-06,1,2,161,1,219,80.5,0.5,109.5,1
2024-07,1,5,1780,469,564,356.0,93.8,112.8,4
2024-09,1,5,512,4,1838,102.4,0.8,367.6,5
2024-10,1,2,369,0,198,184.5,0.0,99.0,2
2024-11,1,2,196,1,61,98.0,0.5,30.5,1
2024-12,1,2,319,2,226,159.5,1.0,113.0,1
2025-03,1,1,219,0,362,219.0,0.0,362.0,1
2025-04,1,5,756,6,242,151.2,1.2,48.4,3
2025-07,1,1,84,0,99,84.0,0.0,99.0,1
2025-08,1,1,140,0,94,140.0,0.0,94.0,1
2025-10,1,3,115,5,99,38.3,1.7,33.0,1
2025-11,1,1,203,0,57,203.0,0.0,57.0,1
2025-12,1,3,465,2,301,155.0,0.7,100.3,2
2026-01,1,1,113,0,121,113.0,0.0,121.0,1
2026-02,1,12,10702,21065,5997,891.8,1755.4,499.8,4
2026-03,1,9,2247,3130,4543,249.7,347.8,504.8,3
2026-04,1,11,4038,2020,1662,367.1,183.6,151.1,4
2026-05,1,4,845,22937,489,211.2,5734.2,122.2,1
