repo,size_kb,size_mb,reason
sentry-docs,729380,712.3,too large to clone/process (0.7 GB)
test-repo,0,0.0,empty repository - no commit history
demo-sinatra,0,0.0,empty repository - no commit history
demo-flask,0,0.0,empty repository - no commit history
sentry-fastlane-plugin,1370564,1338.4,too large to clone/process (1.31 GB)
demo-rq,0,0.0,empty repository - no commit history
relay,778292,760.1,too large to clone/process (0.74 GB)
open.sentry.io,0,0.0,empty repository - no commit history
unity,2897422,2829.5,too large to clone/process (2.76 GB)
test-ttt-simple,0,0.0,empty repository - no commit history
nextjs-sentry-example,0,0.0,empty repository - no commit history
team-webplatform-meta,0,0.0,empty repository - no commit history
public,0,0.0,empty repository - no commit history
nextjs,0,0.0,empty repository - no commit history
web-benchmark-demo,0,0.0,empty repository - no commit history
gocd-jsonnet-config-example,0,0.0,empty repository - no commit history
unreal-tower,1192714,1164.8,too large to clone/process (1.14 GB)
tracing-tutorial-setting-up-backend,0,0.0,empty repository - no commit history
godot-builds,0,0.0,empty repository - no commit history
action-pre-commit,0,0.0,empty repository - no commit history
sentry_seer_types,0,0.0,empty repository - no commit history
