month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-02,1,16,13734,34,409,858.4,2.1,25.6
2016-03,1,8,47,33,188,5.9,4.1,23.5
2016-04,1,19,2433,162,630,128.1,8.5,33.2
2016-05,1,5,66,27,125,13.2,5.4,25.0
2016-07,1,7,83,47,227,11.9,6.7,32.4
2016-08,1,13,524,198,388,40.3,15.2,29.8
2016-09,1,36,835,393,1161,23.2,10.9,32.2
2016-11,1,12,93,36,565,7.8,3.0,47.1
2017-01,1,62,1811,781,2283,29.2,12.6,36.8
2017-02,1,21,321,147,577,15.3,7.0,27.5
2017-03,1,8,51,31,346,6.4,3.9,43.2
2017-05,1,32,1739,3430,916,54.3,107.2,28.6
2017-06,1,3,4,4,76,1.3,1.3,25.3
2017-07,1,1,0,0,107,0.0,0.0,107.0
