month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2017-11,1,105,6918,2004,4347,65.9,19.1,41.4
2017-12,1,11,219,92,447,19.9,8.4,40.6
2018-01,1,6,499,291,162,83.2,48.5,27.0
2018-05,1,5,423,279,249,84.6,55.8,49.8
2018-06,1,10,2016,1867,892,201.6,186.7,89.2
2018-07,1,6,39,14,161,6.5,2.3,26.8
2018-08,1,3,135,16,90,45.0,5.3,30.0
2018-09,1,1,1,1,16,1.0,1.0,16.0
2019-01,1,6,9,6,164,1.5,1.0,27.3
2019-02,1,5,243,20,135,48.6,4.0,27.0
2019-10,1,5,66,34,121,13.2,6.8,24.2
2019-11,1,4,6,2,115,1.5,0.5,28.8
2021-05,1,2,29,116,733,14.5,58.0,366.5
2022-05,1,2,0,0,255,0.0,0.0,127.5
