month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2001-01,1,1,27,1,52,27.0,1.0,52.0,1
2022-03,1,14,700,347,256,50.0,24.8,18.3,1
2022-04,1,180,14988,2462,4762,83.3,13.7,26.5,1
2022-05,1,118,4702,1154,3403,39.8,9.8,28.8,1
2022-06,1,38,1294,410,886,34.1,10.8,23.3,1
2022-07,1,98,2457,791,2896,25.1,8.1,29.6,1
2022-08,1,223,13053,5960,8434,58.5,26.7,37.8,1
2022-09,1,105,280596,6436,3436,2672.3,61.3,32.7,1
2022-10,1,168,32968,3923,5664,196.2,23.4,33.7,1
2022-11,1,259,13486,3212,8794,52.1,12.4,34.0,3
2022-12,1,91,9973,2913,3613,109.6,32.0,39.7,1
2023-01,1,6,124,490,192,20.7,81.7,32.0,1
2023-02,1,198,10614,27735,6893,53.6,140.1,34.8,2
2023-03,1,171,7203,3075,7733,42.1,18.0,45.2,3
2023-04,1,10,39,18,282,3.9,1.8,28.2,3
2023-05,1,31,853,173,1164,27.5,5.6,37.5,3
2023-06,1,77,3968,2205,3113,51.5,28.6,40.4,2
2023-07,1,94,2855,917,3886,30.4,9.8,41.3,3
2023-08,1,386,94557,9001,18828,245.0,23.3,48.8,10
2023-09,1,376,15171,7657,16941,40.3,20.4,45.1,21
2023-10,1,445,45960,13934,17542,103.3,31.3,39.4,17
2023-11,1,395,24822,13581,16293,62.8,34.4,41.2,21
2023-12,1,285,9752,2933,12977,34.2,10.3,45.5,25
2024-01,1,333,55754,7093,15122,167.4,21.3,45.4,33
2024-02,1,377,29252,13990,14836,77.6,37.1,39.4,24
2024-03,1,373,58007,59463,15763,155.5,159.4,42.3,15
2024-04,1,206,9582,6090,8454,46.5,29.6,41.0,13
2024-05,1,153,20181,9884,6351,131.9,64.6,41.5,14
2024-06,1,161,6317,2879,6712,39.2,17.9,41.7,21
2024-07,1,256,19409,12497,11613,75.8,48.8,45.4,20
2024-08,1,320,18850,6179,13859,58.9,19.3,43.3,24
2024-09,1,323,17202,279731,14890,53.3,866.0,46.1,21
2024-10,1,188,8138,72007,8915,43.3,383.0,47.4,30
2024-11,1,203,9712,4459,9481,47.8,22.0,46.7,31
2024-12,1,414,13476,16678,19245,32.6,40.3,46.5,94
2025-01,1,371,26262,8818,17785,70.8,23.8,47.9,80
2025-02,1,203,9804,4354,9812,48.3,21.4,48.3,26
2025-03,1,218,39604,7202,8814,181.7,33.0,40.4,38
2025-04,1,137,8392,4952,5753,61.3,36.1,42.0,32
2025-05,1,172,11436,6566,7370,66.5,38.2,42.8,26
2025-06,1,375,34163,23067,17193,91.1,61.5,45.8,33
2025-07,1,415,37866,35062,18017,91.2,84.5,43.4,44
2025-08,1,308,17691,5302,13217,57.4,17.2,42.9,40
2025-09,1,336,18250,27418,15018,54.3,81.6,44.7,44
2025-10,1,344,50344,15174,15821,146.3,44.1,46.0,41
2025-11,1,296,22121,11145,13765,74.7,37.7,46.5,31
2025-12,1,340,25442,24372,14842,74.8,71.7,43.7,44
2026-01,1,346,57451,18627,15456,166.0,53.8,44.7,37
2026-02,1,479,30998,20775,18383,64.7,43.4,38.4,74
2026-03,1,566,62480,14500,25353,110.4,25.6,44.8,55
2026-04,1,275,1492102,45207,13162,5425.8,164.4,47.9,43
2026-05,1,148,20978,9035,6575,141.7,61.0,44.4,33
2026-06,1,76,6107,2099,3498,80.4,27.6,46.0,22
2026-07,1,294,50901,13106,13244,173.1,44.6,45.0,31
2026-08,1,564,74036,21124,24037,131.3,37.5,42.6,71
2026-09,1,122,26647,4325,5229,218.4,35.5,42.9,35
