month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2024-07,1,2,5054,40,79,2527.0,20.0,39.5,1
2024-08,1,20,8489,2778,771,424.4,138.9,38.5,1
2024-11,1,25,1459,539,819,58.4,21.6,32.8,1
2024-12,1,360,24508,4237,11732,68.1,11.8,32.6,57
2025-01,1,46,1338,230,1623,29.1,5.0,35.3,31
2025-02,1,12,274,32,273,22.8,2.7,22.8,7
2025-03,1,18,262,114,573,14.6,6.3,31.8,12
2025-04,1,7,41,9,304,5.9,1.3,43.4,6
2025-05,1,4,13,13,227,3.2,3.2,56.8,4
2025-06,1,1,2,2,35,2.0,2.0,35.0,1
2025-07,1,23,3890,808,865,169.1,35.1,37.6,9
2025-08,1,9,1487,93,358,165.2,10.3,39.8,3
2025-09,1,13,471,221,262,36.2,17.0,20.2,6
2025-10,1,21,2280,1371,463,108.6,65.3,22.0,9
2025-11,1,6,823,43,277,137.2,7.2,46.2,2
2025-12,1,8,746,115,184,93.2,14.4,23.0,4
2026-01,1,5,267,122,228,53.4,24.4,45.6,4
2026-02,1,21,7604,12808,510,362.1,609.9,24.3,2
2026-03,1,47,3246,1256,1109,69.1,26.7,23.6,14
2026-04,1,7,145,36,305,20.7,5.1,43.6,4
2026-05,1,7,266,124,282,38.0,17.7,40.3,5
2026-06,1,2,32,29,84,16.0,14.5,42.0,2
2026-07,1,3,30,12,99,10.0,4.0,33.0,2
2026-08,1,1,23,2,40,23.0,2.0,40.0,2
