month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-09,1,25,577,64,1747,23.1,2.6,69.9
2012-10,1,10,20,9,547,2.0,0.9,54.7
2012-11,1,12,100,33,703,8.3,2.8,58.6
2012-12,1,26,498,96,1275,19.2,3.7,49.0
2013-01,1,24,804,361,1633,33.5,15.0,68.0
2013-02,1,8,24,21,592,3.0,2.6,74.0
2013-03,1,2,5,5,103,2.5,2.5,51.5
2013-04,1,9,28,25,626,3.1,2.8,69.6
2013-05,1,6,166,233,353,27.7,38.8,58.8
2013-06,1,5,14,385,311,2.8,77.0,62.2
2013-07,1,1,10,9,31,10.0,9.0,31.0
2013-08,1,60,1657,798,2872,27.6,13.3,47.9
2013-09,1,34,317,192,2573,9.3,5.6,75.7
2013-10,1,18,119,79,2578,6.6,4.4,143.2
2013-11,1,25,334,55,2877,13.4,2.2,115.1
2013-12,1,18,140,28,1151,7.8,1.6,63.9
2014-01,1,17,563,309,1160,33.1,18.2,68.2
2014-02,1,8,221,6,644,27.6,0.8,80.5
2014-03,1,48,381,322,3865,7.9,6.7,80.5
2014-04,1,31,296,152,2239,9.5,4.9,72.2
2014-05,1,14,236,52,792,16.9,3.7,56.6
2014-06,1,21,122,227,1289,5.8,10.8,61.4
2014-07,1,2,63,61,110,31.5,30.5,55.0
2014-08,1,2,1,1,163,0.5,0.5,81.5
2014-09,1,6,197,71,281,32.8,11.8,46.8
2014-10,1,4,19,35,973,4.8,8.8,243.2
2014-11,1,9,28,11,958,3.1,1.2,106.4
2014-12,1,7,157,4,705,22.4,0.6,100.7
2015-01,1,19,917,144,1135,48.3,7.6,59.7
2015-03,1,2,11,1,235,5.5,0.5,117.5
2015-04,1,4,3,3,354,0.8,0.8,88.5
2015-06,1,1,892,0,116,892.0,0.0,116.0
2015-08,1,4,3,1,528,0.8,0.2,132.0
2015-09,1,9,198,24,716,22.0,2.7,79.6
2015-10,1,20,583,400,1333,29.1,20.0,66.7
2015-11,1,14,1522,587,965,108.7,41.9,68.9
2015-12,1,7,58,49,578,8.3,7.0,82.6
2016-01,1,4,17,116,446,4.2,29.0,111.5
2016-02,1,5,17,291,540,3.4,58.2,108.0
2016-03,1,6,78,27,337,13.0,4.5,56.2
2016-04,1,3,42,0,122,14.0,0.0,40.7
2016-06,1,1,16,8,64,16.0,8.0,64.0
2016-07,1,3,226,143,180,75.3,47.7,60.0
2016-08,1,1,148,49,77,148.0,49.0,77.0
2016-09,1,1,6,3,192,6.0,3.0,192.0
2016-10,1,3,15,53,194,5.0,17.7,64.7
2016-11,1,2,2,2,61,1.0,1.0,30.5
2017-01,1,5,6,6,448,1.2,1.2,89.6
2017-02,1,4,38,0,174,9.5,0.0,43.5
2017-03,1,1,0,0,100,0.0,0.0,100.0
2017-04,1,1,8,0,31,8.0,0.0,31.0
2017-06,1,7,31,5,242,4.4,0.7,34.6
2017-07,1,2,34,34,97,17.0,17.0,48.5
2017-08,1,5,4,6,411,0.8,1.2,82.2
2017-09,1,1,11,0,47,11.0,0.0,47.0
2017-10,1,1,1,1,26,1.0,1.0,26.0
2017-11,1,2,51,17,76,25.5,8.5,38.0
