month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2013-04,1,25,1388,55,602,55.5,2.2,24.1
2013-05,1,14,178,58,703,12.7,4.1,50.2
2013-06,1,8,153,14,320,19.1,1.8,40.0
2013-07,1,5,307,105,209,61.4,21.0,41.8
2013-08,1,23,424,182,1301,18.4,7.9,56.6
2013-09,1,10,33,27,774,3.3,2.7,77.4
2013-10,1,13,216,228,540,16.6,17.5,41.5
2013-11,1,6,47,45,514,7.8,7.5,85.7
2013-12,1,9,128,33,833,14.2,3.7,92.6
2014-01,1,8,31,17,741,3.9,2.1,92.6
2014-02,1,58,1033,442,4895,17.8,7.6,84.4
2014-03,1,15,56,36,2452,3.7,2.4,163.5
2014-04,1,13,42,44,1257,3.2,3.4,96.7
2014-06,1,4,38,31,362,9.5,7.8,90.5
2014-07,1,8,99,53,738,12.4,6.6,92.2
2014-08,1,10,142,120,880,14.2,12.0,88.0
2014-09,1,58,1940,792,5851,33.4,13.7,100.9
2014-10,1,24,306,193,3715,12.8,8.0,154.8
2014-11,1,22,212,40,5176,9.6,1.8,235.3
2014-12,1,2,0,0,502,0.0,0.0,251.0
2015-01,1,7,15,3,1495,2.1,0.4,213.6
2015-02,1,2,6,5,177,3.0,2.5,88.5
2015-03,1,37,1228,155,4775,33.2,4.2,129.1
2015-04,1,23,133,77,4806,5.8,3.3,209.0
2015-05,1,7,32,14,1247,4.6,2.0,178.1
2015-06,1,15,326,84,1540,21.7,5.6,102.7
2015-07,1,8,57,24,904,7.1,3.0,113.0
2015-08,1,32,305,126,5119,9.5,3.9,160.0
2015-09,1,8,379,48,1834,47.4,6.0,229.2
2015-10,1,8,28,88,1649,3.5,11.0,206.1
2015-11,1,12,150,32,1749,12.5,2.7,145.8
2015-12,1,15,241,47,1477,16.1,3.1,98.5
2016-01,1,14,133,35,1800,9.5,2.5,128.6
2016-02,1,13,72,17,1418,5.5,1.3,109.1
2016-04,1,2,1,6601,186,0.5,3300.5,93.0
