month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2014-01,1,45,19088,177,6215,424.2,3.9,138.1
2014-02,1,36,7068,733,4626,196.3,20.4,128.5
2014-03,1,20,2110,309,2647,105.5,15.4,132.3
2014-04,1,6,202,66,644,33.7,11.0,107.3
2014-05,1,6,218,40,1253,36.3,6.7,208.8
2014-06,1,6,373,160,836,62.2,26.7,139.3
2014-07,1,2,193,71,320,96.5,35.5,160.0
2014-08,1,2,38,4,258,19.0,2.0,129.0
2014-09,1,3,105,19,363,35.0,6.3,121.0
2014-10,1,4,462,18,444,115.5,4.5,111.0
2014-11,1,8,825,623,1152,103.1,77.9,144.0
2014-12,1,4,22,4,485,5.5,1.0,121.2
2015-01,1,7,145,162,1371,20.7,23.1,195.9
2015-02,1,3,292,92,553,97.3,30.7,184.3
2015-03,1,4,359,59,468,89.8,14.8,117.0
2015-04,1,9,48,30,1321,5.3,3.3,146.8
2015-05,1,10,454,74,1623,45.4,7.4,162.3
2015-06,1,4,56,27,697,14.0,6.8,174.2
2015-07,1,15,5115,343,1723,341.0,22.9,114.9
2015-08,1,7,902,162,1244,128.9,23.1,177.7
2015-09,1,10,87,40,1514,8.7,4.0,151.4
2015-10,1,7,571,62,962,81.6,8.9,137.4
2015-11,1,6,58,35,930,9.7,5.8,155.0
2015-12,1,8,364,22,730,45.5,2.8,91.2
2016-01,1,4,185,23,913,46.2,5.8,228.2
2016-02,1,4,6,13,522,1.5,3.2,130.5
2016-03,1,6,133,32,1048,22.2,5.3,174.7
2016-04,1,6,2382,101,1467,397.0,16.8,244.5
2016-05,1,5,247,217,721,49.4,43.4,144.2
2016-06,1,1,199,218,374,199.0,218.0,374.0
2016-07,1,4,152,84,410,38.0,21.0,102.5
2016-08,1,3,11,5,628,3.7,1.7,209.3
2016-09,1,8,412,301,2428,51.5,37.6,303.5
2016-10,1,9,1555,355,1970,172.8,39.4,218.9
2016-11,1,9,48,18,1738,5.3,2.0,193.1
2016-12,1,1,1,0,102,1.0,0.0,102.0
2017-01,1,5,400,22,813,80.0,4.4,162.6
2017-02,1,3,226,51,649,75.3,17.0,216.3
2017-03,1,4,67,278,723,16.8,69.5,180.8
2017-04,1,3,87,24,911,29.0,8.0,303.7
2017-05,1,1,2,0,135,2.0,0.0,135.0
2017-06,1,1,4,0,238,4.0,0.0,238.0
2017-07,1,2,4,5,132,2.0,2.5,66.0
2017-08,1,2,173,3,498,86.5,1.5,249.0
2017-09,1,1,55,18,172,55.0,18.0,172.0
2017-10,1,3,108,9,751,36.0,3.0,250.3
2017-12,1,1,750,81,237,750.0,81.0,237.0
2018-03,1,5,3973,1494,583,794.6,298.8,116.6
2018-04,1,2,234,10,931,117.0,5.0,465.5
2018-05,1,2,43,7,602,21.5,3.5,301.0
2018-07,1,2,9585,2981,122,4792.5,1490.5,61.0
2018-08,1,1,1,2,154,1.0,2.0,154.0
2018-09,1,2,41,13,133,20.5,6.5,66.5
2018-10,1,3,220,816,1211,73.3,272.0,403.7
2018-12,1,3,210,7,780,70.0,2.3,260.0
2019-02,1,3,38,11,483,12.7,3.7,161.0
2019-05,1,2,675,2,647,337.5,1.0,323.5
2019-06,1,3,23,4,187,7.7,1.3,62.3
2019-08,1,2,15,14,809,7.5,7.0,404.5
2019-09,1,2,23,5,237,11.5,2.5,118.5
2019-10,1,4,658,671,529,164.5,167.8,132.2
2019-12,1,1,5,2,197,5.0,2.0,197.0
2020-04,1,1,7,3,176,7.0,3.0,176.0
2020-09,1,1,3,3,93,3.0,3.0,93.0
2020-10,1,1,16,13,239,16.0,13.0,239.0
2020-12,1,1,154,93,366,154.0,93.0,366.0
2021-02,1,1,6,1,302,6.0,1.0,302.0
2021-03,1,1,92,79,355,92.0,79.0,355.0
2021-06,1,1,35755,17,3235,35755.0,17.0,3235.0
2021-07,1,2,63,49,216,31.5,24.5,108.0
2021-08,1,1,133,18,121,133.0,18.0,121.0
2021-10,1,1,4,8,39,4.0,8.0,39.0
2021-11,1,1,316,244,70,316.0,244.0,70.0
2021-12,1,3,4,5,146,1.3,1.7,48.7
2022-01,1,1,7,4,49,7.0,4.0,49.0
2022-04,1,1,2,2,180,2.0,2.0,180.0
2022-07,1,4,364,371,790,91.0,92.8,197.5
2022-08,1,1,10,11,159,10.0,11.0,159.0
2022-10,1,2,65,47,172,32.5,23.5,86.0
2022-11,1,1,1,1,52,1.0,1.0,52.0
2023-03,1,16,7524,385,3386,470.2,24.1,211.6
2023-07,1,3,21948,12477,1133,7316.0,4159.0,377.7
2023-08,1,3,2677,1349,390,892.3,449.7,130.0
2023-09,1,1,6,0,116,6.0,0.0,116.0
2023-12,1,2,46,5,803,23.0,2.5,401.5
2024-04,1,5,32,123,1640,6.4,24.6,328.0
2026-08,1,2,1054,1056,720,527.0,528.0,360.0
