month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-01,1,1,26,0,102,26.0,0.0,102.0
2012-03,1,1,27,0,80,27.0,0.0,80.0
2012-04,1,1,22,0,91,22.0,0.0,91.0
2013-02,1,1,2,14,101,2.0,14.0,101.0
2013-03,1,9,6029,117,1034,669.9,13.0,114.9
2013-04,1,1,4,4,106,4.0,4.0,106.0
2013-05,1,4,106,5,501,26.5,1.2,125.2
2013-06,1,14,1412,297,1809,100.9,21.2,129.2
2013-07,1,5,451,5,561,90.2,1.0,112.2
2013-09,1,19,1904,2216,3140,100.2,116.6,165.3
2013-10,1,6,440,5,1366,73.3,0.8,227.7
2013-11,1,10,433,15,996,43.3,1.5,99.6
2013-12,1,15,1030,15,1643,68.7,1.0,109.5
2014-01,1,2,3,3,435,1.5,1.5,217.5
2014-02,1,1,73,0,124,73.0,0.0,124.0
2014-03,1,7,1239,34,910,177.0,4.9,130.0
2014-04,1,2,79,3,468,39.5,1.5,234.0
2014-05,1,5,61,10,966,12.2,2.0,193.2
2014-06,1,1,57,0,104,57.0,0.0,104.0
2014-07,1,10,641,55,1803,64.1,5.5,180.3
2014-08,1,11,945,12,1627,85.9,1.1,147.9
2014-09,1,4,204,3,583,51.0,0.8,145.8
2014-10,1,1,78,0,115,78.0,0.0,115.0
2014-11,1,6,124,21,700,20.7,3.5,116.7
2014-12,1,8,303,12,1540,37.9,1.5,192.5
2015-01,1,10,549,238,2226,54.9,23.8,222.6
2015-02,1,5,286,4,1223,57.2,0.8,244.6
2015-03,1,2,3,2,474,1.5,1.0,237.0
2015-04,1,1,12,6,320,12.0,6.0,320.0
2015-05,1,2,202,1,421,101.0,0.5,210.5
2015-06,1,1,99,0,185,99.0,0.0,185.0
2015-07,1,8,1346,10,1696,168.2,1.2,212.0
2015-08,1,4,210,18,971,52.5,4.5,242.8
2015-10,1,2,44,1,433,22.0,0.5,216.5
2015-11,1,7,87,37,1674,12.4,5.3,239.1
2015-12,1,2,408,1,542,204.0,0.5,271.0
2016-01,1,1,8,0,238,8.0,0.0,238.0
2016-02,1,11,129,33,2530,11.7,3.0,230.0
2016-04,1,3,5,3,799,1.7,1.0,266.3
2016-05,1,6,38,26,1530,6.3,4.3,255.0
2016-08,1,6,537,3,1357,89.5,0.5,226.2
2016-09,1,2,159,5,700,79.5,2.5,350.0
2016-10,1,6,9,13,1409,1.5,2.2,234.8
2016-11,1,10,475,18,2611,47.5,1.8,261.1
2016-12,1,1,53,0,216,53.0,0.0,216.0
2017-02,1,8,126,82,3083,15.8,10.2,385.4
2017-03,1,7,7158,74,1824,1022.6,10.6,260.6
2017-04,1,6,55,7,1823,9.2,1.2,303.8
2017-05,1,1,9,4,355,9.0,4.0,355.0
2017-07,1,4,1035,22,1843,258.8,5.5,460.8
2017-08,1,7,564,35,1661,80.6,5.0,237.3
2017-09,1,5,17,17,995,3.4,3.4,199.0
2017-10,1,3,6,4,1101,2.0,1.3,367.0
2017-11,1,3,175,1,662,58.3,0.3,220.7
2017-12,1,1,5,5,319,5.0,5.0,319.0
2018-01,1,4,68,34,1138,17.0,8.5,284.5
2018-02,1,4,5523,4,999,1380.8,1.0,249.8
2018-03,1,3,296,12,753,98.7,4.0,251.0
2018-04,1,6,15597,321,2138,2599.5,53.5,356.3
2018-05,1,6,118,19,2190,19.7,3.2,365.0
2018-07,1,9,576,12,2721,64.0,1.3,302.3
2018-08,1,4,51,3,780,12.8,0.8,195.0
2018-10,1,6,250,3,1559,41.7,0.5,259.8
2018-11,1,8,344,8,2482,43.0,1.0,310.2
2018-12,1,5,290,16,2252,58.0,3.2,450.4
2019-02,1,3,29,1,700,9.7,0.3,233.3
2019-03,1,13,1060,31,4067,81.5,2.4,312.8
2019-04,1,1,0,1,231,0.0,1.0,231.0
2019-05,1,1,1,1,420,1.0,1.0,420.0
2019-06,1,1,153,0,289,153.0,0.0,289.0
2019-07,1,5,2090,3,1476,418.0,0.6,295.2
2019-08,1,19,1184,329,5820,62.3,17.3,306.3
2019-09,1,7,358,86,2616,51.1,12.3,373.7
2019-10,1,6,386,10,1918,64.3,1.7,319.7
2019-11,1,8,401,11,2274,50.1,1.4,284.2
2020-01,1,8,225,7,2384,28.1,0.9,298.0
2020-02,1,5,297,5,1838,59.4,1.0,367.6
2020-03,1,18,10293,6021,7589,571.8,334.5,421.6
2020-04,1,2,651,50,448,325.5,25.0,224.0
2020-05,1,4,236,3,1553,59.0,0.8,388.2
2020-06,1,13,487,14,4124,37.5,1.1,317.2
2020-07,1,3,15,13,1465,5.0,4.3,488.3
2020-08,1,2,30,4,425,15.0,2.0,212.5
2020-09,1,4,11,6,1696,2.8,1.5,424.0
2020-10,1,3,50,2,1416,16.7,0.7,472.0
2020-11,1,3,336,14,1345,112.0,4.7,448.3
2020-12,1,7,200,20,3691,28.6,2.9,527.3
2021-01,1,7,638,8,2510,91.1,1.1,358.6
2021-02,1,10,237,40,3984,23.7,4.0,398.4
2021-03,1,3,3938,5,1177,1312.7,1.7,392.3
2021-04,1,4,43,51,1573,10.8,12.8,393.2
2021-05,1,6,46,65309,1854,7.7,10884.8,309.0
2026-06,1,1,0,12,581,0.0,12.0,581.0
