month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-01,1,3,15487,22,487,5162.3,7.3,162.3
2012-02,1,13,1829,256,2467,140.7,19.7,189.8
2012-03,1,9,3602,192,2073,400.2,21.3,230.3
2012-04,1,12,784,198,2973,65.3,16.5,247.8
2012-05,1,8,661,417,2229,82.6,52.1,278.6
2012-06,1,4,2626,59,928,656.5,14.8,232.0
2012-07,1,8,2746,39,1681,343.2,4.9,210.1
2012-08,1,10,538,458,2898,53.8,45.8,289.8
2012-09,1,10,4627,82,1974,462.7,8.2,197.4
2012-10,1,8,799,187,2028,99.9,23.4,253.5
2012-11,1,4,51,14,788,12.8,3.5,197.0
2012-12,1,13,1087,346,3308,83.6,26.6,254.5
2013-01,1,1,219,37,283,219.0,37.0,283.0
2013-02,1,3,57,11,636,19.0,3.7,212.0
2013-03,1,4,674,29,1403,168.5,7.2,350.8
2013-04,1,6,135,146,1635,22.5,24.3,272.5
2013-05,1,1,114,4,106,114.0,4.0,106.0
2013-06,1,14,1153,183,3184,82.4,13.1,227.4
2013-07,1,10,352,85,2233,35.2,8.5,223.3
2013-08,1,12,1511,253,3081,125.9,21.1,256.8
2013-09,1,14,3207,1523,3550,229.1,108.8,253.6
2013-10,1,17,904,425,3526,53.2,25.0,207.4
2013-11,1,1,14,10,352,14.0,10.0,352.0
2013-12,1,2,2,1,341,1.0,0.5,170.5
2014-01,1,2,4,4,757,2.0,2.0,378.5
2014-02,1,2,510,2,301,255.0,1.0,150.5
2014-03,1,1,16,15,344,16.0,15.0,344.0
2014-04,1,8,7265,4276,1312,908.1,534.5,164.0
2014-05,1,11,486,89,2454,44.2,8.1,223.1
2014-06,1,1,40,7,343,40.0,7.0,343.0
2014-07,1,1,5,6,453,5.0,6.0,453.0
2014-08,1,6,288,103,2763,48.0,17.2,460.5
2014-09,1,4,655,382,1863,163.8,95.5,465.8
2014-10,1,7,480,177,2977,68.6,25.3,425.3
2014-11,1,6,287,120,2371,47.8,20.0,395.2
2014-12,1,8,439,232,3346,54.9,29.0,418.2
2015-01,1,4,522,65,1387,130.5,16.2,346.8
2015-02,1,4,159,48,1592,39.8,12.0,398.0
2015-03,1,2,13,12,461,6.5,6.0,230.5
2015-04,1,7,328,37,2751,46.9,5.3,393.0
2015-05,1,9,978,46,4266,108.7,5.1,474.0
2015-06,1,8,1902,83,3710,237.8,10.4,463.8
2015-07,1,16,497,155,6560,31.1,9.7,410.0
2015-08,1,13,480,163,6579,36.9,12.5,506.1
2015-09,1,2,87,6,788,43.5,3.0,394.0
2015-10,1,2,31,5,885,15.5,2.5,442.5
2015-11,1,7,335,179,2679,47.9,25.6,382.7
2015-12,1,5,858,11,4535,171.6,2.2,907.0
2016-01,1,5,116,29,2327,23.2,5.8,465.4
2016-02,1,2,103,26,724,51.5,13.0,362.0
2016-03,1,6,1859,64,2812,309.8,10.7,468.7
2016-04,1,15,4449,174,7544,296.6,11.6,502.9
2016-05,1,8,157,37,3674,19.6,4.6,459.2
2016-06,1,10,1597,72,3861,159.7,7.2,386.1
2016-07,1,9,57,37,3379,6.3,4.1,375.4
2016-08,1,29,2179,579,13574,75.1,20.0,468.1
2016-09,1,13,602,631,5766,46.3,48.5,443.5
2016-10,1,34,8047,1275,18669,236.7,37.5,549.1
2016-11,1,3,71,3,1410,23.7,1.0,470.0
2016-12,1,14,823,270,6721,58.8,19.3,480.1
2017-01,1,30,3557,2273,16023,118.6,75.8,534.1
2017-02,1,12,571,86,5632,47.6,7.2,469.3
2017-03,1,9,1801,234,5669,200.1,26.0,629.9
2017-04,1,27,2247,424,12728,83.2,15.7,471.4
2017-05,1,12,364,77,4787,30.3,6.4,398.9
2017-06,1,8,252,52,3302,31.5,6.5,412.8
2017-07,1,16,673,115,5740,42.1,7.2,358.8
2017-08,1,10,918,193,4936,91.8,19.3,493.6
2017-09,1,15,429,57,5494,28.6,3.8,366.3
2017-10,1,5,34,135,1603,6.8,27.0,320.6
2017-11,1,9,225,227,3997,25.0,25.2,444.1
2017-12,1,5,1190,20,2089,238.0,4.0,417.8
2018-01,1,19,1474,370,9752,77.6,19.5,513.3
2018-02,1,9,160,49,4015,17.8,5.4,446.1
2018-03,1,13,710,134,5514,54.6,10.3,424.2
2018-04,1,19,3656,1006,13124,192.4,52.9,690.7
2018-05,1,19,3951,307,9772,207.9,16.2,514.3
2018-06,1,16,1066,349,10317,66.6,21.8,644.8
2018-07,1,6,758,97,3884,126.3,16.2,647.3
2018-08,1,9,996,190,5320,110.7,21.1,591.1
2018-09,1,6,117,34,3268,19.5,5.7,544.7
2018-10,1,13,1013,314,7274,77.9,24.2,559.5
2018-11,1,5,52,11,2208,10.4,2.2,441.6
2018-12,1,1,2,2,463,2.0,2.0,463.0
2019-01,1,8,225,177,2930,28.1,22.1,366.2
2019-02,1,11,675,148,7099,61.4,13.5,645.4
2019-03,1,3,532,362,5416,177.3,120.7,1805.3
2019-04,1,21,2448,342,15653,116.6,16.3,745.4
2019-05,1,1,20,20,544,20.0,20.0,544.0
2019-06,1,5,598,46,2245,119.6,9.2,449.0
2019-07,1,5,612,761,5729,122.4,152.2,1145.8
2019-08,1,7,1495,166,5241,213.6,23.7,748.7
2019-09,1,8,1842,1027,5218,230.2,128.4,652.2
2019-10,1,8,172,56,4163,21.5,7.0,520.4
2019-11,1,16,3179,1551,12909,198.7,96.9,806.8
2019-12,1,3,191,5,1198,63.7,1.7,399.3
2020-01,1,8,405,494,5641,50.6,61.8,705.1
2020-02,1,10,852,141,5391,85.2,14.1,539.1
2020-03,1,7,373,81,3664,53.3,11.6,523.4
2020-04,1,11,714,1380,11926,64.9,125.5,1084.2
2020-05,1,6,620,157,3361,103.3,26.2,560.2
2020-06,1,2,248,11,1661,124.0,5.5,830.5
2020-07,1,2,14,1,926,7.0,0.5,463.0
2020-08,1,1,0,9,501,0.0,9.0,501.0
2020-09,1,4,59,1859,2035,14.8,464.8,508.8
2020-10,1,3,19,13,1459,6.3,4.3,486.3
2020-11,1,6,537,67,2617,89.5,11.2,436.2
2020-12,1,4,99,103,2921,24.8,25.8,730.2
2021-01,1,1,3,2,1012,3.0,2.0,1012.0
2021-02,1,5,314,285,1839,62.8,57.0,367.8
2021-03,1,3,67,19,1758,22.3,6.3,586.0
2021-04,1,1,9,9,615,9.0,9.0,615.0
2021-05,1,7,2377,6575,5022,339.6,939.3,717.4
2021-06,1,1,3,2,441,3.0,2.0,441.0
2021-07,1,3,12,12,1540,4.0,4.0,513.3
2021-08,1,3,155,18,1210,51.7,6.0,403.3
2021-09,1,1,7,6,427,7.0,6.0,427.0
2021-10,1,2,71,17,1323,35.5,8.5,661.5
2021-11,1,4,270,282,2320,67.5,70.5,580.0
2021-12,1,2,17,32,1213,8.5,16.0,606.5
2022-01,1,6,1057,2201,2544,176.2,366.8,424.0
2022-02,1,4,153,69,3466,38.2,17.2,866.5
2022-03,1,15,938,633,15962,62.5,42.2,1064.1
2022-04,1,1,82,70,377,82.0,70.0,377.0
2022-05,1,6,313,19,4032,52.2,3.2,672.0
2022-06,1,1,3,1,669,3.0,1.0,669.0
2022-07,1,1,0,6,780,0.0,6.0,780.0
2022-08,1,5,213,39,6400,42.6,7.8,1280.0
2022-09,1,4,67,109,3066,16.8,27.2,766.5
2022-10,1,6,310,307,3494,51.7,51.2,582.3
2022-11,1,9,332,174,5720,36.9,19.3,635.6
2022-12,1,5,201,139,3359,40.2,27.8,671.8
