month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2016-03,1,34,5302,1071,1369,155.9,31.5,40.3
2016-04,1,78,7201,5110,4303,92.3,65.5,55.2
2016-05,1,45,1946,890,2212,43.2,19.8,49.2
2016-06,1,120,7057,2714,6066,58.8,22.6,50.5
2016-07,1,155,5760,3331,8226,37.2,21.5,53.1
2016-08,1,74,5365,3618,8014,72.5,48.9,108.3
2016-09,1,81,2895,1469,11292,35.7,18.1,139.4
2016-10,1,64,29752,1100,5640,464.9,17.2,88.1
2016-11,1,29,2527,292,2762,87.1,10.1,95.2
2016-12,1,127,6937,2419,10686,54.6,19.0,84.1
2017-01,1,211,9741,5717,17420,46.2,27.1,82.6
2017-02,1,95,4814,2303,6437,50.7,24.2,67.8
2017-03,1,182,23838,11432,14166,131.0,62.8,77.8
2017-04,1,230,12964,31996,20630,56.4,139.1,89.7
2017-05,1,363,21119,5510,28591,58.2,15.2,78.8
2017-06,1,163,5965,3201,16567,36.6,19.6,101.6
2017-07,1,144,3772,991,15667,26.2,6.9,108.8
2017-08,1,234,177618,5132,20598,759.1,21.9,88.0
2017-09,1,187,24129,19341,23054,129.0,103.4,123.3
2017-10,1,137,4369,2701,13563,31.9,19.7,99.0
2017-11,1,61,2186,1633,7033,35.8,26.8,115.3
2017-12,1,77,3818,3845,7487,49.6,49.9,97.2
2018-01,1,115,6755,32877,14621,58.7,285.9,127.1
2018-02,1,67,4704,884,6479,70.2,13.2,96.7
2018-03,1,36,1087,369,5048,30.2,10.2,140.2
2018-04,1,21,32,23,1835,1.5,1.1,87.4
2018-05,1,16,172,37,2034,10.8,2.3,127.1
2018-06,1,22,2171,2801,2906,98.7,127.3,132.1
2018-07,1,96,4737,2179,11109,49.3,22.7,115.7
2018-08,1,7,237,24,1905,33.9,3.4,272.1
2018-09,1,13,284,69,2009,21.8,5.3,154.5
2018-10,1,4,8,10,798,2.0,2.5,199.5
2018-11,1,1,1,1,165,1.0,1.0,165.0
2018-12,1,2,12,3,121,6.0,1.5,60.5
2019-01,1,12,55,38,2715,4.6,3.2,226.2
2019-02,1,5,38,16,2385,7.6,3.2,477.0
2019-03,1,5,2536,18,1146,507.2,3.6,229.2
2019-05,1,6,42,10,1340,7.0,1.7,223.3
2019-06,1,3,21,4,509,7.0,1.3,169.7
2019-08,1,2,1,1,118,0.5,0.5,59.0
2020-02,1,1,5,6,323,5.0,6.0,323.0
2020-04,1,1,0,0,99,0.0,0.0,99.0
2020-09,1,1,7,24,96,7.0,24.0,96.0
