month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2010-04,1,6,79131,111,712,13188.5,18.5,118.7
2010-05,1,11,1479,242,2029,134.5,22.0,184.5
2010-06,1,4,700,91,851,175.0,22.8,212.8
2010-07,1,3,188,147,341,62.7,49.0,113.7
2010-08,1,7,94,84,1214,13.4,12.0,173.4
2010-09,1,6,225,116,1066,37.5,19.3,177.7
2010-10,1,3,533,273,608,177.7,91.0,202.7
2011-01,1,1,11,12,90,11.0,12.0,90.0
2011-04,1,1,4,4,100,4.0,4.0,100.0
2011-06,1,2,10,10,194,5.0,5.0,97.0
2011-07,1,4,33,51,392,8.2,12.8,98.0
2011-09,1,1,7,7,100,7.0,7.0,100.0
2011-10,1,1,14,10,90,14.0,10.0,90.0
2011-11,1,1,19,20,85,19.0,20.0,85.0
2011-12,1,1,16,14,147,16.0,14.0,147.0
2012-02,1,1,3,64,92,3.0,64.0,92.0
2012-05,1,7,323,252,1016,46.1,36.0,145.1
2012-06,1,2,237,126,480,118.5,63.0,240.0
2012-07,1,8,1626,229,998,203.2,28.6,124.8
2013-07,1,1,227,46,107,227.0,46.0,107.0
2013-08,1,3,1401,189,641,467.0,63.0,213.7
2013-09,1,3,463,139,718,154.3,46.3,239.3
2013-10,1,25,1418,705,4589,56.7,28.2,183.6
2013-11,1,10,477,156,1790,47.7,15.6,179.0
2013-12,1,7,1066,909,1370,152.3,129.9,195.7
2014-01,1,4,295,286,755,73.8,71.5,188.8
2014-02,1,2,102,56,365,51.0,28.0,182.5
2014-11,1,2,15,11,370,7.5,5.5,185.0
2015-02,1,1,24,64,163,24.0,64.0,163.0
2015-03,1,1,31,4,179,31.0,4.0,179.0
2015-08,1,30,1775,1088,3568,59.2,36.3,118.9
2015-09,1,5,188,74,246,37.6,14.8,49.2
2015-11,1,1,2,2,194,2.0,2.0,194.0
2016-01,1,2,2,0,161,1.0,0.0,80.5
2016-02,1,4,90,4,304,22.5,1.0,76.0
2016-03,1,1,25,1,129,25.0,1.0,129.0
2016-04,1,1,21,14,148,21.0,14.0,148.0
2016-05,1,1,8,1,180,8.0,1.0,180.0
2016-06,1,1,237,0,29,237.0,0.0,29.0
2016-12,1,1,5,0,41,5.0,0.0,41.0
2017-04,1,4,20,10,611,5.0,2.5,152.8
2017-06,1,1,1,1,19,1.0,1.0,19.0
