month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
1972-07,1,1,7,0,60,7.0,0.0,60.0
1974-01,1,1,3,7,60,3.0,7.0,60.0
1988-04,1,2,8,3,162,4.0,1.5,81.0
2008-03,1,46,16960,2115,3814,368.7,46.0,82.9
2008-04,1,12,842,240,1362,70.2,20.0,113.5
2008-05,1,17,352,218,1543,20.7,12.8,90.8
2008-06,1,192,82003,7033,10084,427.1,36.6,52.5
2008-07,1,188,20188,8720,11450,107.4,46.4,60.9
2008-08,1,96,14470,6647,12411,150.7,69.2,129.3
2008-09,1,232,24715,10890,27497,106.5,46.9,118.5
2008-10,1,235,17936,10197,29801,76.3,43.4,126.8
2008-11,1,231,23798,9876,32721,103.0,42.8,141.6
2008-12,1,147,14908,5797,18375,101.4,39.4,125.0
2009-01,1,201,38928,20732,23787,193.7,103.1,118.3
2009-02,1,120,18569,12116,16186,154.7,101.0,134.9
2009-03,1,213,53847,22530,30599,252.8,105.8,143.7
2009-04,1,188,13775,7353,29546,73.3,39.1,157.2
2009-05,1,230,32683,11571,33220,142.1,50.3,144.4
2009-06,1,208,33278,15579,32938,160.0,74.9,158.4
2009-07,1,299,36927,22135,50721,123.5,74.0,169.6
2009-08,1,307,49304,35184,46154,160.6,114.6,150.3
2009-09,1,249,44333,17011,38706,178.0,68.3,155.4
2009-10,1,272,58436,22698,40125,214.8,83.4,147.5
2009-11,1,567,67463,35770,80158,119.0,63.1,141.4
2009-12,1,262,68020,56430,53196,259.6,215.4,203.0
2010-01,1,224,18913,4788,33341,84.4,21.4,148.8
2010-02,1,228,36529,7683,35530,160.2,33.7,155.8
2010-03,1,236,29250,11436,33731,123.9,48.5,142.9
2010-04,1,210,23590,14142,35952,112.3,67.3,171.2
2010-05,1,163,9388,4144,23174,57.6,25.4,142.2
2010-06,1,177,26248,7308,27359,148.3,41.3,154.6
2010-07,1,172,9351,5743,26931,54.4,33.4,156.6
2010-08,1,218,16666,7838,37369,76.4,36.0,171.4
2010-09,1,297,18866,10525,53721,63.5,35.4,180.9
2010-10,1,233,26186,26832,39309,112.4,115.2,168.7
2010-11,1,133,13495,4706,22198,101.5,35.4,166.9
2010-12,1,210,18268,19192,33439,87.0,91.4,159.2
2011-01,1,281,23492,11030,48413,83.6,39.3,172.3
2011-02,1,294,19673,6771,60947,66.9,23.0,207.3
2011-03,1,356,22102,8002,76300,62.1,22.5,214.3
2011-04,1,328,53382,13922,70484,162.8,42.4,214.9
2011-05,1,288,27277,14578,57848,94.7,50.6,200.9
2011-06,1,357,33111,15336,88707,92.7,43.0,248.5
2011-07,1,348,30003,26435,84914,86.2,76.0,244.0
2011-08,1,303,51278,17425,67655,169.2,57.5,223.3
2011-09,1,273,37714,10103,77194,138.1,37.0,282.8
2011-10,1,316,24181,17469,74017,76.5,55.3,234.2
2011-11,1,396,43522,31128,86143,109.9,78.6,217.5
2011-12,1,454,55468,17664,103432,122.2,38.9,227.8
