month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length
2012-01,1,3,1097,38,491,365.7,12.7,163.7
2012-02,1,1,30,12,530,30.0,12.0,530.0
2012-03,1,4,312,70,708,78.0,17.5,177.0
2012-04,1,1,22,0,91,22.0,0.0,91.0
2012-06,1,2,83,16,696,41.5,8.0,348.0
2012-08,1,1,36,5,318,36.0,5.0,318.0
2012-10,1,1,60,27,171,60.0,27.0,171.0
2012-12,1,1,60,20,172,60.0,20.0,172.0
2013-07,1,1,46,19,130,46.0,19.0,130.0
2013-09,1,6,718,182,1414,119.7,30.3,235.7
2013-12,1,2,2,1,232,1.0,0.5,116.0
2014-03,1,1,2321,0,229,2321.0,0.0,229.0
2014-05,1,2,522,9,1146,261.0,4.5,573.0
2014-06,1,8,2139,659,3748,267.4,82.4,468.5
2014-09,1,4,258,51,1062,64.5,12.8,265.5
2014-10,1,6,1062,313,1331,177.0,52.2,221.8
2014-11,1,1,9,9,133,9.0,9.0,133.0
2014-12,1,4,19,12,446,4.8,3.0,111.5
2015-02,1,11,2718,536,7289,247.1,48.7,662.6
2015-03,1,27,8020,3428,15330,297.0,127.0,567.8
2015-04,1,22,10426,7438,5794,473.9,338.1,263.4
2015-05,1,4,121,20,1135,30.2,5.0,283.8
2015-06,1,8,190,73,2330,23.8,9.1,291.2
2015-07,1,8,393,149,2622,49.1,18.6,327.8
2015-08,1,11,1756,62,3465,159.6,5.6,315.0
2015-09,1,4,1695,13,947,423.8,3.2,236.8
2015-10,1,1,10,3,258,10.0,3.0,258.0
2016-01,1,1,21,6,808,21.0,6.0,808.0
2016-03,1,2,52,9,385,26.0,4.5,192.5
2016-04,1,9,253,94,2905,28.1,10.4,322.8
2016-05,1,2,225,14,405,112.5,7.0,202.5
2016-06,1,2,11161,14,664,5580.5,7.0,332.0
2016-07,1,3,121,8,812,40.3,2.7,270.7
2016-08,1,2,393,1,473,196.5,0.5,236.5
